year,month,yrmo,vol_g,vol_Mg
2003,January,Jan 2003,548100558,548.100558
2003,February,Feb 2003,492827575,492.827575
2003,March,Mar 2003,548046149,548.046149
2003,April,Apr 2003,577710780,577.71078
2003,May,May 2003,688023734,688.023734
2003,June,Jun 2003,971490258,971.490258
2003,July,Jul 2003,1321081416,1321.081416
2003,August,Aug 2003,1146553456,1146.553456
2003,September,Sep 2003,827898063,827.898063
2003,October,Oct 2003,651085040,651.08504
2003,November,Nov 2003,537305235,537.305235
2003,December,Dec 2003,548370792,548.370792
2004,January,Jan 2004,560153979,560.153979
2004,February,Feb 2004,539611024,539.611024
2004,March,Mar 2004,579902657,579.902657
2004,April,Apr 2004,647404694,647.404694
2004,May,May 2004,755327942,755.327942
2004,June,Jun 2004,834385167,834.385167
2004,July,Jul 2004,1196178972,1196.178972
2004,August,Aug 2004,1080926102,1080.926102
2004,September,Sep 2004,704519402,704.519402
2004,October,Oct 2004,616798029,616.798029
2004,November,Nov 2004,549982862,549.982862
2004,December,Dec 2004,568720678,568.720678
2005,January,Jan 2005,574432855,574.432855
2005,February,Feb 2005,527359608,527.359608
2005,March,Mar 2005,579398664,579.398664
2005,April,Apr 2005,588999955,588.999955
2005,May,May 2005,682413648,682.413648
2005,June,Jun 2005,743771421,743.771421
2005,July,Jul 2005,1244213378,1244.213378
2005,August,Aug 2005,1220283252,1220.283252
2005,September,Sep 2005,827261322,827.261322
2005,October,Oct 2005,610210811,610.210811
2005,November,Nov 2005,543825890,543.82589
2005,December,Dec 2005,568006566,568.006566
2006,January,Jan 2006,573547173,573.547173
2006,February,Feb 2006,527384915,527.384915
2006,March,Mar 2006,583868273,583.868273
2006,April,Apr 2006,593508206,593.508206
2006,May,May 2006,911153035,911.153035
2006,June,Jun 2006,949503439,949.503439
2006,July,Jul 2006,1345419275,1345.419275
2006,August,Aug 2006,1201626022,1201.626022
2006,September,Sep 2006,866249764,866.249764
2006,October,Oct 2006,641696260,641.69626
2006,November,Nov 2006,569689580,569.68958
2006,December,Dec 2006,583848246,583.848246
2007,January,Jan 2007,599664743,599.664743
2007,February,Feb 2007,548570167,548.570167
2007,March,Mar 2007,613748857,613.748857
2007,April,Apr 2007,635138561,635.138561
2007,May,May 2007,826780450,826.78045
2007,June,Jun 2007,956137957,956.137957
2007,July,Jul 2007,1434374958,1434.374958
2007,August,Aug 2007,1258567315,1258.567315
2007,September,Sep 2007,880016966,880.016966
2007,October,Oct 2007,621485903,621.485903
2007,November,Nov 2007,572103555,572.103555
2007,December,Dec 2007,585496119,585.496119
2008,January,Jan 2008,595841042,595.841042
2008,February,Feb 2008,560968813,560.968813
2008,March,Mar 2008,584723044,584.723044
2008,April,Apr 2008,583774135,583.774135
2008,May,May 2008,773050884,773.050884
2008,June,Jun 2008,861842096,861.842096
2008,July,Jul 2008,1227936238,1227.936238
2008,August,Aug 2008,1121515740,1121.51574
2008,September,Sep 2008,746827465,746.827465
2008,October,Oct 2008,599661348,599.661348
2008,November,Nov 2008,546183563,546.183563
2008,December,Dec 2008,555481334,555.481334
2009,January,Jan 2009,558987456,558.987456
2009,February,Feb 2009,525319613,525.319613
2009,March,Mar 2009,579269535,579.269535
2009,April,Apr 2009,590119020,590.11902
2009,May,May 2009,847801307,847.801307
2009,June,Jun 2009,1006755039,1006.755039
2009,July,Jul 2009,1193066527,1193.066527
2009,August,Aug 2009,996506766,996.506766
2009,September,Sep 2009,894492246,894.492246
2009,October,Oct 2009,589773574,589.773574
2009,November,Nov 2009,535376790,535.37679
2009,December,Dec 2009,551429602,551.429602
2010,January,Jan 2010,563976628,563.976628
2010,February,Feb 2010,517687988,517.687988
2010,March,Mar 2010,574081294,574.081294
2010,April,Apr 2010,598775753,598.775753
2010,May,May 2010,730196170,730.19617
2010,June,Jun 2010,722241848,722.241848
2010,July,Jul 2010,1109277664,1109.277664
2010,August,Aug 2010,1020838133,1020.838133
2010,September,Sep 2010,740496401,740.496401
2010,October,Oct 2010,596125944,596.125944
2010,November,Nov 2010,544795906,544.795906
2010,December,Dec 2010,581367758,581.367758
2011,January,Jan 2011,587995945,587.995945
2011,February,Feb 2011,540260307,540.260307
2011,March,Mar 2011,607907729,607.907729
2011,April,Apr 2011,578607993,578.607993
2011,May,May 2011,662734424,662.734424
2011,June,Jun 2011,703939956,703.939956
2011,July,Jul 2011,1093919759,1093.919759
2011,August,Aug 2011,1144714587,1144.714587
2011,September,Sep 2011,921239535,921.239535
2011,October,Oct 2011,565889547,565.889547
2011,November,Nov 2011,523658366,523.658366
2011,December,Dec 2011,540499499,540.499499
2012,January,Jan 2012,553089651,553.089651
2012,February,Feb 2012,528844791,528.844791
2012,March,Mar 2012,576139642,576.139642
2012,April,Apr 2012,567174489,567.174489
2012,May,May 2012,763183793,763.183793
2012,June,Jun 2012,796585840,796.58584
2012,July,Jul 2012,1189213576,1189.213576
2012,August,Aug 2012,1143562679,1143.562679
2012,September,Sep 2012,913601903,913.601903
2012,October,Oct 2012,552905546,552.905546
2012,November,Nov 2012,531816332,531.816332
2012,December,Dec 2012,541892183,541.892183
2013,January,Jan 2013,578429903,578.429903
2013,February,Feb 2013,533025293,533.025293
2013,March,Mar 2013,559407160,559.40716
2013,April,Apr 2013,546671712,546.671712
2013,May,May 2013,771107053,771.107053
2013,June,Jun 2013,877064538,877.064538
2013,July,Jul 2013,1267991815,1267.991815
2013,August,Aug 2013,1127671057,1127.671057
2013,September,Sep 2013,846994771,846.994771
2013,October,Oct 2013,550037339,550.037339
2013,November,Nov 2013,539541995,539.541995
2013,December,Dec 2013,549396552,549.396552
2014,January,Jan 2014,554356386,554.356386
2014,February,Feb 2014,514322620,514.32262
2014,March,Mar 2014,577402758,577.402758
2014,April,Apr 2014,590573410,590.57341
2014,May,May 2014,765301561,765.301561
2014,June,Jun 2014,927516946,927.516946
2014,July,Jul 2014,1153361661,1153.361661
2014,August,Aug 2014,1020377099,1020.377099
2014,September,Sep 2014,816391679,816.391679
2014,October,Oct 2014,588833080,588.83308
2014,November,Nov 2014,515827174,515.827174
2014,December,Dec 2014,532745028,532.745028
2015,January,Jan 2015,530630052,530.630052
2015,February,Feb 2015,495164396,495.164396
2015,March,Mar 2015,555233014,555.233014
2015,April,Apr 2015,602038583,602.038583
2015,May,May 2015,875320945,875.320945
2015,June,Jun 2015,1079800512,1079.800512
2015,July,Jul 2015,1128999109,1128.999109
2015,August,Aug 2015,1071420245,1071.420245
2015,September,Sep 2015,799129459,799.129459
2015,October,Oct 2015,605365030,605.36503
2015,November,Nov 2015,525038019,525.038019
2015,December,Dec 2015,539153793,539.153793
2016,January,Jan 2016,551190631,551.190631
2016,February,Feb 2016,533185270,533.18527
2016,March,Mar 2016,566876888,566.876888
2016,April,Apr 2016,622399575,622.399575
2016,May,May 2016,754200901,754.200901
2016,June,Jun 2016,987587877,987.587877
2016,July,Jul 2016,1088285809,1088.285809
2016,August,Aug 2016,1097866138,1097.866138
2016,September,Sep 2016,795055364,795.055364
