gwicid,latitude,longitude,altitude,total_dept,swl,cf_input,rs_input,gc_input,br_input,outlet,ksat_r
151179,0.2539923313504158,0.5145300804664672,0.27705648914800834,0.20224719101123595,0.2866666666666667,0.4068612360095642,0.29887684780210083,0.1582669795687857,0.2000969911779338,0.6194431776704041,0.03214285714285714
151189,0.11841389237588415,0.6013113788759343,0.29503698985841,0.29213483146067415,0.33599999999999997,0.33559841636494137,0.226953663985544,0.221054567393383,0.07825660031473164,0.7580435016804956,0.08846428571428572
157214,0.3394858868520181,0.8681384187218079,1.0,0.8539325842696629,1.0,0.1287448159473665,0.08680175494283615,0.14434292769870213,0.3764168097883461,0.8512419519026216,0.1918214285714286
151101,0.11488440876535136,0.5105607589657984,0.2101807848709035,0.011235955056179775,0.18666666666666668,0.41270497421020846,0.3115282902682046,0.2787675331278586,0.09338577814684411,0.7046268763285805,0.03214285714285714
67037,0.0,0.625989215170564,0.272892068002548,0.15730337078651685,0.36,0.33556308672908447,0.25241148471130936,0.34311323354051537,0.0,0.8471641693983073,0.1918214285714286
151191,0.16788070090244003,0.804458042294894,0.3808730586448486,0.3258426966292135,0.48533333333333334,0.15921822690832543,0.03670557638370107,0.19930060858627235,0.2307993534473995,0.8759200850450823,0.0
157208,0.12538950265064194,0.7670254967052372,0.41668708049581105,1.0,0.0,0.19533250264735003,0.08564658463139281,0.21959887038208367,0.17874779850882763,0.8695003205259141,0.0
69402,0.08099417769414388,0.7498898351945985,0.3908676693939543,0.5876404494382023,0.8666666666666667,0.21718129588702034,0.1228799611650636,0.2599563168671411,0.14358483808535324,0.8812019772043814,0.0
151081,0.23426848367126205,0.840632079104053,0.5752780363529476,0.0,0.13333333333333333,0.1284994998975755,0.0,0.17311015509681502,0.29469636178978204,0.8728998960736525,0.1840357142857143
151061,0.3005316407672927,0.6602827096238628,0.33601979324873876,0.29213483146067415,0.5066666666666667,0.287814838484634,0.1694258670924274,0.0034713022421644043,0.2403822438446442,0.6980935477474629,0.08846428571428572
151204,1.0,0.0,0.0,0.011235955056179775,0.18,1.0,1.0,1.0,1.0,0.024407188698623208,0.1918214285714286
151161,0.09212225830601584,0.6585818497251058,0.32555974719514025,0.3258426966292135,0.52,0.29071579263204195,0.18500427904628194,0.23563240280507175,0.0796075853685163,0.8115410201593041,0.0
150967,0.19436978976973437,0.8258648039197011,0.46252020969085306,0.23595505617977527,0.3413333333333334,0.13981223938364665,0.007654394354055571,0.1920206256489143,0.2617369156267671,0.8797115878530122,0.0
151190,0.12604710452837722,0.7658345513868626,0.4171035226103573,0.5876404494382023,0.88,0.19623763673654082,0.0860659513564314,0.21834170475078524,0.17809014768324027,0.8682682064120865,0.0
151188,0.07846326534742691,0.4836222337200125,0.19501739258243145,0.12359550561797752,0.10666666666666667,0.4392142356626714,0.3443928419598778,0.33325218158059333,0.0860122241587598,0.713821763314041,1.0
151143,0.17659909554449654,0.6877888705998152,0.3138013816079564,0.23595505617977527,0.36,0.2580630424285173,0.13431230892936427,0.14052017912394088,0.15532708384503757,0.7837989949443491,0.0
164350,0.24975873880052749,1.0,0.5384841507030529,0.48426966292134827,0.6466666666666666,0.0,0.144250136193365,0.3490788632489319,0.43631997152605667,1.0,0.1918214285714286
136400,0.22620492897900565,0.6672980042130767,0.30704032139532655,0.1797752808988764,0.2,0.27552007055825456,0.1506987026993212,0.08506469846012522,0.18353293854897493,0.7419837918657688,0.0
151203,0.33582210351665887,0.3887585789215954,0.15957081965606756,0.0,0.17333333333333334,0.520214812106228,0.4284516322525699,0.27451111731334205,0.3163857060034893,0.4899716323821737,0.0013571428571428571
156566,0.9340931164258699,0.11446402301479883,0.025353975797363957,0.06741573033707865,0.24,0.8929368175389419,0.8815731240142369,0.8300708208658892,0.8905376398906528,0.0,0.15485714285714286
157207,0.632825462344711,0.23811533848548713,0.10185684189897591,0.29213483146067415,0.36,0.7020522305295658,0.6493346380487117,0.515287512993517,0.6091347553336529,0.2102680073226649,0.0013571428571428571
157209,0.3251689530978289,0.3214021144160697,0.1263289402773019,0.06741573033707865,0.24,0.5759916921903796,0.49050595223667676,0.3670721951929487,0.35061595814254964,0.4605109126550192,0.08846428571428572
157211,0.30340233094575075,0.6615928090213358,0.34471608446425916,0.8539325842696629,0.4666666666666667,0.28711196778234066,0.1690750911883919,0.0,0.24306080465746263,0.6976639804243031,0.08846428571428572
209148,0.15624620614303067,0.8563463955821711,0.41805888981431566,0.3795505617977528,0.5066666666666667,0.11640954477158864,0.037316129849949836,0.25149341665895386,0.26962588755762595,0.9221838247339466,0.08846428571428572
209157,0.1597871393306895,0.9034170914983096,0.43993434912547214,0.33449438202247195,0.47600000000000003,0.07645339704041533,0.06371830436077551,0.2928658355964305,0.31342888880220815,0.9580214597329889,0.08846428571428572
209254,0.1395532354012413,0.48942181416387004,0.19905933075302595,0.02247191011235955,0.15733333333333335,0.4288142542754216,0.32726240504702286,0.273866007909467,0.12227359116236754,0.6763160328568264,0.03214285714285714
209255,0.26854437295132083,0.6969865696493549,0.3707069717309294,0.38202247191011235,0.0,0.25316329186460274,0.1278655553077323,0.039326177752020394,0.22806144962287292,0.7424629394125821,0.1918214285714286
