,MAE,MSE,RMSE,MAPE,R^2
Linear Interpolation,2.492263347214359,13.849719285263843,3.7215210983230826,10.584509763382096,0.9556017540838779
STL Decomposition,1.3017124574573578,3.974768942279858,1.9936822571011306,5.469692836556644,0.9872785797701806
Time Interpolation,2.4703481958450904,13.702645517046781,3.701708459218092,10.575749457476581,0.9562763113879847
Q and DOY Regression,1.608597542313439,4.955952070034647,2.2261967725326186,6.107727877952058,0.9842653964266247
Well Regression,0.9365223432581856,1.9473601966592973,1.39547848305135,4.532553211083307,0.9929002587220872
