gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
151081	7/1/1995	6.97	6.97	3261.87		MCWQD	SOUNDER			
151081	11/2/1995 11:18:00 AM	9.24	9.24	3259.6		MCWQD	SOUNDER			
151081	11/6/1995	9.24	9.24	3259.6		MCWQD	SOUNDER			
151081	2/14/1996 11:30:00 AM	8.3	8.3	3260.54		MCWQD	SOUNDER			
151081	5/16/1996 2:10:00 PM	7.15	7.15	3261.69		MCWQD	SOUNDER			
151081	8/8/1996 4:15:00 PM	8.16	8.16	3260.68		MCWQD	SOUNDER			
151081	11/14/1996 1:00:00 PM	9.78	9.78	3259.06		MCWQD	SOUNDER			
151081	3/5/1997 1:52:00 PM	9.37	9.37	3259.47		MCWQD	SOUNDER			
151081	5/14/1997 12:00:00 PM	6.8	6.8	3262.04		MCWQD	SOUNDER			
151081	8/20/1997	8.27	8.27	3260.57		MCWQD	SOUNDER			
151081	11/19/1997 11:00:00 AM	10.18	10.18	3258.66		MCWQD	SOUNDER			
151081	3/4/1998	9.55	9.55	3259.29		MCWQD	SOUNDER			
151081	5/27/1998	6.65	6.65	3262.19		MCWQD	SOUNDER			
151081	8/17/1998 12:05:00 PM	7.3	7.3	3261.54		MCWQD	SOUNDER			
151081	11/2/1998 4:30:00 PM	9.03	9.03	3259.81		MCWQD	SOUNDER			
151081	3/3/1999 4:15:00 PM	9.17	9.17	3259.67		MCWQD	SOUNDER			
151081	6/24/1999	7.12	7.12	3261.72		MCWQD	SOUNDER			
151081	9/13/1999	9.7	9.7	3259.14		MCWQD	SOUNDER	 		
151081	11/8/1999	9.05	9.05	3259.79		MCWQD	SOUNDER	 		
151081	3/2/2000	9.47	9.47	3259.37		MCWQD	SOUNDER			
151081	6/13/2000	7.34	7.34	3261.5		MBMG	SOUNDER			
151081	8/9/2000	8.92	8.92	3259.92		MCWQD	SOUNDER			
151081	11/29/2000	9.47	9.47	3259.37		MCWQD	SOUNDER			
151081	3/26/2001	9.2	9.2	3259.64		MCWQD	SOUNDER			
151081	6/13/2001 12:15:00 PM	7.29	7.29	3261.55		MCWQD	SOUNDER	 		
151081	8/29/2001	8.65	8.65	3260.19		MCWQD	SOUNDER	 		
151081	11/1/2001	9	9	3259.84		MCWQD	SOUNDER	 		
151081	3/12/2002	9.65	9.65	3259.19		MCWQD	SOUNDER	 		
151081	6/3/2002	6.51	6.51	3262.33		MCWQD	SOUNDER	 		
151081	10/9/2002	9.07	9.07	3259.77		MCWQD	SOUNDER			
