gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
157211	6/4/1996	27.21	27.21	3147.51		MCWQD	SOUNDER			
157211	8/14/1996	31.69	31.69	3143.03		MCWQD	SOUNDER			
157211	11/21/1996	36.64	36.64	3138.08		MCWQD	SOUNDER			
157211	3/11/1997	37.15	37.15	3137.57		MCWQD	SOUNDER			
157211	5/22/1997	25.78	25.78	3148.94		MCWQD	SOUNDER			
157211	8/18/1997	30.75	30.75	3143.97		MCWQD	SOUNDER			
157211	11/17/1997	36.07	36.07	3138.65		MCWQD	SOUNDER			
157211	3/11/1998	38.3	38.3	3136.42		MCWQD	SOUNDER			
157211	6/2/1998	30.65	30.65	3144.07		MCWQD	SOUNDER			
157211	8/17/1998	30.32	30.32	3144.4		MCWQD	SOUNDER			
157211	11/6/1998	35.55	35.55	3139.17		MCWQD	SOUNDER			
157211	3/3/1999	38.06	38.06	3136.66		MCWQD	SOUNDER			
157211	6/22/1999	28.79	28.79	3145.93		MCWQD	SOUNDER			
157211	9/14/1999	34.05	34.05	3140.67		MCWQD	SOUNDER			
157211	11/3/1999	35.94	35.94	3138.78		MCWQD	SOUNDER			
157211	3/1/2000	38.9	38.9	3135.82		MCWQD	SOUNDER			
157211	6/20/2000	32.52	32.52	3142.2		MCWQD	SOUNDER			
157211	8/11/2000	36.15	36.15	3138.57		MCWQD	SOUNDER			
157211	11/29/2000	37.14	37.14	3137.58		MCWQD	SOUNDER			
157211	4/3/2001	39.1	39.1	3135.62		MCWQD	SOUNDER			
157211	6/20/2001	32.59	32.59	3142.13		MCWQD	SOUNDER			
157211	8/30/2001	35.46	35.46	3139.26		MCWQD	SOUNDER			
157211	11/7/2001	37.01	37.01	3137.71		MCWQD	SOUNDER			
157211	3/19/2002	40.29	40.29	3134.43		MCWQD	SOUNDER			
157211	6/11/2002	30.7	30.7	3144.02		MCWQD	SOUNDER			
157211	10/9/2002	36.05	36.05	3138.67		MCWQD	SOUNDER			
157211	4/15/2003	38.96	38.96	3135.76		MCWQD	SOUNDER			
157211	7/10/2003	32.01	32.01	3142.71		MCWQD	SOUNDER			
157211	10/1/2003	36.31	36.31	3138.41		MCWQD	SOUNDER			
157211	3/31/2004	39.51	39.51	3135.21		MCWQD	SOUNDER			
157211	7/22/2004	33.85	33.85	3140.87		MCWQD	SOUNDER			
157211	11/30/2004	37.45	37.45	3137.27		MCWQD	SOUNDER			
157211	5/18/2005	33.77	33.77	3140.95		MCWQD	SOUNDER			
157211	8/17/2005	34.5	34.5	3140.22		MCWQD	SOUNDER			
157211	11/18/2005	37.22	37.22	3137.5		MCWQD	SOUNDER			
157211	3/23/2006	39.3	39.3	3135.42		MCWQD	SOUNDER			
157211	5/25/2006	29.68	29.68	3145.04		MCWQD	SOUNDER			
157211	7/21/2006	32.39	32.39	3142.33		MCWQD	SOUNDER			
157211	11/22/2006	37.5	37.5	3137.22		MCWQD	SOUNDER			
157211	4/9/2007	38.81	38.81	3135.91		MCWQD	SOUNDER			
157211	6/12/2007	31.45	31.45	3143.27		MCWQD	SOUNDER			
157211	7/6/2007	32.79	32.79	3141.93		MCWQD	SOUNDER			
157211	10/2/2007	38.46	38.46	3136.26		MCWQD	SOUNDER			
157211	3/27/2008	42.4	42.4	3132.32		MCWQD	SOUNDER			
157211	6/13/2008	28.15	28.15	3146.57		MCWQD	SOUNDER			
157211	6/26/2008	27.58	27.58	3147.14		MCWQD	SOUNDER			
157211	9/26/2008	35.23	35.23	3139.49		MCWQD	SOUNDER			
157211	11/19/2008	37.4	37.4	3137.32		MCWQD	SOUNDER			
157211	4/8/2009	39.29	39.29	3135.43		MCWQD	SOUNDER			
157211	6/2/2009	28.05	28.05	3146.67		MCWQD	SOUNDER			
157211	7/1/2009	29.15	29.15	3145.57		MCWQD	SOUNDER			
157211	3/25/2010	40.93	40.93	3133.79		MCWQD	SOUNDER			
157211	6/25/2010	31.25	31.25	3143.47		MCWQD	SOUNDER			
157211	7/29/2010	33.14	33.14	3141.58		MCWQD	SOUNDER			
157211	10/14/2010	36.55	36.55	3138.17		MCWQD	SOUNDER			
157211	3/23/2011	39.49	39.49	3135.23		MCWQD	SOUNDER			
157211	6/15/2011	23.39	23.39	3151.33		MCWQD	SOUNDER			
157211	7/1/2011	24.14	24.14	3150.58		MCWQD	SOUNDER			
157211	11/9/2011	33.74	33.74	3140.98		MCWQD	SOUNDER			
157211	4/17/2012	32.84	32.84	3141.88		MCWQD	SOUNDER			
157211	6/1/2012	27.73	27.73	3146.99		MCWQD	SOUNDER			
157211	7/3/2012	27.84	27.84	3146.88		MCWQD	SOUNDER			
157211	10/31/2012	35.28	35.28	3139.44		MCWQD	SOUNDER			
157211	3/27/2013	38.28	38.28	3136.44		MCWQD	SOUNDER			
157211	5/23/2013	30.36	30.36	3144.36		MCWQD	SOUNDER			
157211	7/1/2013	29.49	29.49	3145.23		MCWQD	SOUNDER			
157211	10/25/2013	35.8	35.8	3138.92		MCWQD	SOUNDER			
157211	4/8/2014	36.64	36.64	3138.08		MCWQD	SOUNDER			
157211	6/3/2014	26.49	26.49	3148.23		MCWQD	SOUNDER			
157211	11/3/2014	34.17	34.17	3140.55		MCWQD	SOUNDER			
157211	3/26/2015	33.37	33.37	3141.35		MCWQD	SOUNDER			
157211	6/4/2015	29.82	29.82	3144.9		MCWQD	SOUNDER			
157211	9/29/2015	36.35	36.35	3138.37		MCWQD	SOUNDER			
157211	2/11/2016	38.91	38.91	3135.81		MCWQD	SOUNDER			
157211	4/6/2016	38.62	38.62	3136.1		MCWQD	SOUNDER			
157211	5/27/2016	30.88	30.88	3143.84		MCWQD	SOUNDER			
157211	9/26/2016	36.14	36.14	3138.58		MCWQD	SOUNDER			
157211	12/5/2016	36.65	36.65	3138.07		MCWQD	SOUNDER			
157211	3/29/2017	33.03	33.03	3141.69		MCWQD	SOUNDER			
157211	6/2/2017	27.45	27.45	3147.27		MCWQD	SOUNDER			
157211	9/28/2017	34.47	34.47	3140.25		MCWQD	SOUNDER			
157211	12/6/2017	36.11	36.11	3138.61		MCWQD	SOUNDER			
157211	4/9/2018	37.52	37.52	3137.2		MCWQD	SOUNDER			
157211	5/24/2018	23.93	23.93	3150.79		MCWQD	SOUNDER			
157211	8/28/2018	31.6	31.6	3143.12		MCWQD	SOUNDER			
157211	12/6/2018	34.86	34.86	3139.86		MCWQD	SOUNDER			
157211	4/3/2019	35.32	35.32	3139.4		MCWQD	SOUNDER			
157211	5/21/2019	27.09	27.09	3147.63		MCWQD	SOUNDER			
157211	9/25/2019	33.43	33.43	3141.29		MCWQD	SOUNDER			
157211	1/9/2020 5:30:00 PM	37.18	37.18	3137.54		MCWQD	SOUNDER			
157211	2/7/2020 9:30:00 AM	38.07	38.07	3136.65		MCWQD	SOUNDER			
157211	3/17/2020 4:17:00 PM	38.75	38.75	3135.97		MCWQD	SOUNDER			
157211	4/27/2020 11:28:00 AM	35.4	35.4	3139.32		MCWQD	SOUNDER			
157211	5/25/2020 12:26:00 PM	28.32	28.32	3146.4		MCWQD	SOUNDER			
157211	6/29/2020 9:23:00 AM	27.94	27.94	3146.78		MCWQD	SOUNDER			
157211	7/29/2020 12:05:00 PM	29.72	29.72	3145		MCWQD	SOUNDER			
157211	8/27/2020 11:33:00 AM	32.75	32.75	3141.97		MCWQD	SOUNDER			
157211	9/29/2020 11:12:00 AM	34.43	34.43	3140.29		MCWQD	SOUNDER			
157211	10/28/2020 11:50:00 AM	33.9	33.9	3140.82		MCWQD	SOUNDER			
157211	11/20/2020 10:35:00 AM	33.91	33.91	3140.81		MCWQD	SOUNDER			
157211	12/7/2020 3:27:38 PM	34.98	34.98	3139.74		MCWQD	SOUNDER			
157211	1/14/2021 2:53:06 PM	37.06	37.06	3137.66		MCWQD	SOUNDER			
157211	2/25/2021 1:01:25 PM	38.08	38.08	3136.64		MCWQD	SOUNDER			
157211	3/17/2021 4:15:00 PM	38.15	38.15	3136.57		MCWQD	SOUNDER			
157211	5/4/2021 1:57:00 PM	33.06	33.06	3141.66		MCWQD	SOUNDER			
157211	6/29/2021 9:00:00 AM	29.06	29.06	3145.66		MCWQD	SOUNDER 			
157211	9/29/2021 1:09:00 PM	35.95	35.95	3138.77		MCWQD	SOUNDER 			
157211	10/28/2021 3:16:00 PM	36.69	36.69	3138.03		MCWQD	SOUNDER 			
157211	11/24/2021 12:48:00 PM	37.24	37.24	3137.48		MCWQD	SOUNDER			
157211	1/14/2022 1:14:00 PM	34.01	34.01	3140.71		MCWQD	SOUNDER 			
157211	2/18/2022 10:38:00 AM	36.7	36.7	3138.02		MCWQD	SOUNDER 			
157211	3/23/2022 12:06:00 PM	36.94	36.94	3137.78		MCWQD	SOUNDER 			
157211	4/7/2022 12:18:00 PM	34.6	34.6	3140.12		MCWQD	SOUNDER 			
157211	5/10/2022 9:44:00 AM	33.15	33.15	3141.57		MCWQD	SOUNDER 			
157211	6/6/2022 11:19:00 AM	29.83	29.83	3144.89		MCWQD	SOUNDER 			
157211	7/7/2022 2:58:00 PM	28.93	28.93	3145.79		MCWQD	SOUNDER 			
157211	8/10/2022 2:03:00 PM	32.94	32.94	3141.78		MCWQD	SOUNDER 			
157211	9/15/2022 11:32:00 AM	35.59	35.59	3139.13		MCWQD	SOUNDER 			
157211	11/16/2022 12:53:00 PM	36.68	36.68	3138.04		MCWQD	SOUNDER 			
157211	1/11/2023 9:27:31 PM	38.11	38.11	3136.61		MCWQD	SOUNDER 			
157211	2/7/2023 9:22:53 PM	38.61	38.61	3136.11		MCWQD	SOUNDER 			
157211	4/3/2023 7:48:59 PM	38.97	38.97	3135.75		MCWQD	SOUNDER 			
