gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
151061	7/1/1995	29.77	26.27	3144.9		MCWQD	SOUNDER			
151061	11/2/1995 10:36:00 AM	35.34	31.84	3139.33		MCWQD	SOUNDER			
151061	2/7/1996 4:30:00 PM	37.13	33.63	3137.54		MCWQD	SOUNDER			
151061	6/7/1996 9:37:00 AM	27.28	23.78	3147.39		MCWQD	SOUNDER			
151061	8/19/1996 10:05:00 AM	31.58	28.08	3143.09		MCWQD	SOUNDER			
151061	11/21/1996 2:15:00 PM	36.63	33.13	3138.04		MCWQD	SOUNDER			
151061	3/11/1997 2:00:00 PM	37.1	33.6	3137.57		MCWQD	SOUNDER			
151061	5/22/1997 1:15:00 PM	25.85	22.35	3148.82		MCWQD	SOUNDER			
151061	8/18/1997 3:00:00 PM	30.74	27.24	3143.93		MCWQD	SOUNDER			
151061	11/17/1997 11:30:00 AM	36.13	32.63	3138.54		MCWQD	SOUNDER			
151061	3/11/1998	38.29	34.79	3136.38		MCWQD	SOUNDER			
151061	6/2/1998	30.67	27.17	3144		MCWQD	SOUNDER			
151061	8/17/1998 1:40:00 PM	30.34	26.84	3144.33		MCWQD	SOUNDER			
151061	11/6/1998 10:00:00 AM	35.56	32.06	3139.11		MCWQD	SOUNDER			
151061	3/3/1999 11:00:00 AM	38.08	34.58	3136.59		MCWQD	SOUNDER			
151061	6/22/1999	28.85	25.35	3145.82		MCWQD	SOUNDER			
151061	9/14/1999	34.07	30.57	3140.6		MCWQD	SOUNDER	 		
151061	11/3/1999	35.95	32.45	3138.72		MCWQD	SOUNDER	 		
151061	3/1/2000	38.9	35.4	3135.77		MCWQD	SOUNDER			
151061	6/20/2000	32.52	29.02	3142.15		MCWQD	SOUNDER	 		
151061	8/11/2000	35.85	32.35	3138.82		MCWQD	SOUNDER			
151061	11/29/2000	37.14	33.64	3137.53		MCWQD	SOUNDER			
151061	4/3/2001	39	35.5	3135.67		MCWQD	SOUNDER	 		
151061	6/20/2001 10:15:00 AM	32.59	29.09	3142.08		MCWQD	SOUNDER	 		
151061	8/30/2001	35.44	31.94	3139.23		MCWQD	SOUNDER	 		
151061	11/7/2001	37.11	33.61	3137.56		MCWQD	SOUNDER	 		
151061	3/19/2002	40.32	36.82	3134.35		MCWQD	SOUNDER	 		
151061	6/11/2002	30.7	27.2	3143.97		MCWQD	SOUNDER	 		
151061	10/9/2002	36.02	32.52	3138.65		MCWQD	SOUNDER			
151061	4/15/2003	38.99	35.49	3135.68		MCWQD	SOUNDER			
151061	7/10/2003	31.91	28.41	3142.76		MCWQD	SOUNDER			
151061	9/30/2003	36.65	33.15	3138.02		MCWQD	SOUNDER			
151061	3/31/2004	39.55	36.05	3135.12		MCWQD	SOUNDER			
151061	7/22/2004	33.22	29.72	3141.45		MCWQD	SOUNDER	 		
151061	11/30/2004	37.25	33.75	3137.42		MCWQD	SOUNDER	 		
151061	5/18/2005	33.85	30.35	3140.82		MCWQD	SOUNDER	 		
151061	8/17/2005	34.49	30.99	3140.18		MCWQD	SOUNDER			
151061	11/18/2005	37.24	33.74	3137.43		MCWQD	SOUNDER			
151061	3/23/2006	39.27	35.77	3135.4		MCWQD	SOUNDER			
151061	5/25/2006	29.78	26.28	3144.89		MCWQD	SOUNDER			
151061	7/21/2006	32.39	28.89	3142.28		MCWQD	SOUNDER			
151061	11/22/2006	37.49	33.99	3137.18		MCWQD	SOUNDER			
151061	4/9/2007	38.85	35.35	3135.82		MCWQD	SOUNDER			
151061	6/12/2007	31.5	28	3143.17		MCWQD	SOUNDER			
151061	7/6/2007	32.82	29.32	3141.85		MCWQD	SOUNDER			
151061	10/2/2007	38.51	35.01	3136.16		MCWQD	SOUNDER			
151061	3/27/2008	42.4	38.9	3132.27		MCWQD	SOUNDER			
151061	6/13/2008	28.19	24.69	3146.48		MCWQD	SOUNDER			
151061	6/26/2008	27.62	24.12	3147.05		MCWQD	SOUNDER			
151061	9/26/2008	35.24	31.74	3139.43		MCWQD	SOUNDER			
151061	11/19/2008	37.35	33.85	3137.32		MCWQD	SOUNDER			
151061	4/8/2009	39.3	35.8	3135.37		MCWQD	SOUNDER			
151061	6/2/2009	28.2	24.7	3146.47		MCWQD	SOUNDER			
151061	7/1/2009	29.14	25.64	3145.53		MCWQD	SOUNDER			
151061	3/25/2010	40.9	37.4	3133.77		MCWQD	SOUNDER			
151061	6/25/2010	31.3	27.8	3143.37		MCWQD	SOUNDER			
151061	7/29/2010	33.3	29.8	3141.37		MCWQD	SOUNDER			
151061	10/14/2010	36.54	33.04	3138.13		MCWQD	SOUNDER			
151061	3/23/2011	39.5	36	3135.17		MCWQD	SOUNDER			
151061	6/15/2011	23.39	19.89	3151.28		MCWQD	SOUNDER			
151061	7/1/2011	24.17	20.67	3150.5		MCWQD	SOUNDER			
151061	11/9/2011	33.75	30.25	3140.92		MCWQD	SOUNDER			
151061	4/17/2012	32.87	29.37	3141.8		MCWQD	SOUNDER			
151061	6/1/2012	27.7	24.2	3146.97		MCWQD	SOUNDER			
151061	7/3/2012	27.82	24.32	3146.85		MCWQD	SOUNDER			
151061	10/31/2012	35.3	31.8	3139.37		MCWQD	SOUNDER			
151061	3/27/2013	38.3	34.8	3136.37		MCWQD	SOUNDER			
151061	5/23/2013	30.35	26.85	3144.32		MCWQD	SOUNDER			
151061	7/1/2013	29.47	25.97	3145.2		MCWQD	SOUNDER			
151061	10/25/2013	35.68	32.18	3138.99		MCWQD	SOUNDER			
151061	4/8/2014	36.65	33.15	3138.02		MCWQD	SOUNDER			
151061	6/3/2014	26.49	22.99	3148.18		MCWQD	SOUNDER			
151061	11/3/2014	34.2	30.7	3140.47		MCWQD	SOUNDER			
151061	3/26/2015	33.47	29.97	3141.2		MCWQD	SOUNDER			
151061	6/4/2015	29.85	26.35	3144.82		MCWQD	SOUNDER			
151061	9/29/2015	36.3	32.8	3138.37		MCWQD	SOUNDER			
151061	2/11/2016	38.68	35.18	3135.99		MCWQD	SOUNDER			
151061	4/6/2016	38.39	34.89	3136.28		MCWQD	SOUNDER			
151061	5/27/2016	30.92	27.42	3143.75		MCWQD	SOUNDER			
151061	9/26/2016	36.17	32.67	3138.5		MCWQD	SOUNDER			
151061	12/5/2016	36.68	33.18	3137.99		MCWQD	SOUNDER			
151061	3/29/2017	33.12	29.62	3141.55		MCWQD	SOUNDER			
151061	6/2/2017	27.5	24	3147.17		MCWQD	SOUNDER			
151061	9/28/2017	34.46	30.96	3140.21		MCWQD	SOUNDER			
151061	12/6/2017	36.11	32.61	3138.56		MCWQD	SOUNDER			
151061	4/9/2018	37.52	34.02	3137.15		MCWQD	SOUNDER			
151061	5/24/2018	23.92	20.42	3150.75		MCWQD	SOUNDER			
151061	8/28/2018	31.59	28.09	3143.08		MCWQD	SOUNDER			
151061	12/6/2018	34.86	31.36	3139.81		MCWQD	SOUNDER			
151061	4/3/2019	35.41	31.91	3139.26		MCWQD	SOUNDER			
151061	5/21/2019	27.12	23.62	3147.55		MCWQD	SOUNDER			
151061	9/25/2019	33.43	29.93	3141.24		MCWQD	SOUNDER			
151061	1/9/2020 5:34:00 PM	37.18	33.68	3137.49		MCWQD	SOUNDER			
151061	2/7/2020 9:33:00 AM	38.07	34.57	3136.6		MCWQD	SOUNDER			
151061	3/17/2020 4:27:00 PM	38.76	35.26	3135.91		MCWQD	SOUNDER			
151061	4/27/2020 11:27:00 AM	35.47	31.97	3139.2		MCWQD	SOUNDER			
151061	5/25/2020 12:25:00 PM	28.38	24.88	3146.29		MCWQD	SOUNDER			
151061	6/29/2020 9:26:00 AM	27.94	24.44	3146.73		MCWQD	SOUNDER			
151061	7/29/2020 12:07:00 PM	29.71	26.21	3144.96		MCWQD	SOUNDER			
151061	8/27/2020 11:33:00 AM	32.75	29.25	3141.92		MCWQD	SOUNDER			
151061	9/29/2020 11:10:00 AM	34.43	30.93	3140.24		MCWQD	SOUNDER			
151061	10/28/2020 11:52:00 AM	33.9	30.4	3140.77		MCWQD	SOUNDER			
151061	11/20/2020 10:30:00 AM	33.91	30.41	3140.76		MCWQD	SOUNDER			
151061	12/7/2020 3:15:41 PM	34.98	31.48	3139.69		MCWQD	SOUNDER			
