gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
67037	10/31/2012	26.1	22.41	3122.99				MCWQD	SOUNDER			
67037	10/31/2012	27.05	23.36	3122.04				MCWQD	SOUNDER			
67037	3/26/2013	27.15	23.46	3121.94				MCWQD	SOUNDER			
67037	3/26/2013	26.84	23.15	3122.25				MCWQD	SOUNDER			
67037	5/22/2013	23.9	20.21	3125.19				MCWQD	SOUNDER			
67037	5/22/2013	26.72	23.03	3122.37				MCWQD	SOUNDER			
67037	7/2/2013	24.63	20.94	3124.46				MCWQD	SOUNDER			
67037	7/2/2013	27.29	23.6	3121.8				MCWQD	SOUNDER			
67037	10/25/2013	26.8	23.11	3122.29				MCWQD	SOUNDER			
67037	10/25/2013	27.13	23.44	3121.96				MCWQD	SOUNDER			
67037	4/8/2014	25.99	22.3	3123.1				MCWQD	SOUNDER			
67037	4/10/2014	26.29	22.6	3122.8				MCWQD	SOUNDER			
67037	6/4/2014	20.91	17.22	3128.18				MCWQD	SOUNDER			
67037	6/4/2014	26.21	22.52	3122.88				MCWQD	SOUNDER			
67037	10/31/2014	26.2	22.51	3122.89				MCWQD	SOUNDER			
67037	3/23/2015	25.22	21.53	3123.87				MCWQD	SOUNDER			
67037	6/4/2015	22.9	19.21	3126.19				MCWQD	SOUNDER			
67037	9/29/2015	27.32	23.63	3121.77				MCWQD	SOUNDER			
67037	2/10/2016	27.34	23.65	3121.75				MCWQD	SOUNDER			
67037	4/7/2016	26.48	22.79	3122.61				MCWQD	SOUNDER			
67037	5/26/2016	23.93	20.24	3125.16				MCWQD	SOUNDER			
67037	9/23/2016	27.95	24.26	3121.14				MCWQD	SOUNDER			
67037	12/5/2016	26.75	23.06	3122.34				MCWQD	SOUNDER			
67037	3/29/2017	24.66	20.97	3124.43				MCWQD	SOUNDER			
67037	5/31/2017	21.47	17.78	3127.62				MCWQD	SOUNDER			
67037	9/26/2017	26.53	22.84	3122.56				MCWQD	SOUNDER			
67037	12/6/2017	26.12	22.43	3122.97				MCWQD	SOUNDER			
67037	4/9/2018	26.02	22.33	3123.07				MCWQD	SOUNDER			
67037	5/21/2018	20.23	16.54	3128.86				MCWQD	SOUNDER			
67037	8/29/2018	26.41	22.72	3122.68				MCWQD	SOUNDER			
67037	12/7/2018	26.7	23.01	3122.39				MCWQD	SOUNDER			
67037	4/3/2019	26.1	22.41	3122.99				MCWQD	SOUNDER			
67037	5/23/2019	22.4	18.71	3126.69				MCWQD	SOUNDER			
67037	9/24/2019	26.33	22.64	3122.76				MCWQD	SOUNDER			
67037	1/9/2020 8:08:00 PM	27.05	23.36	3122.04				MCWQD	SOUNDER			
67037	2/4/2020 7:30:00 PM	27.23	23.54	3121.86				MCWQD	SOUNDER			
67037	3/17/2020 8:36:00 PM	27.35	23.66	3121.74				MCWQD	SOUNDER			
67037	4/29/2020 4:33:00 PM	25.75	22.06	3123.34				MCWQD	SOUNDER			
67037	5/26/2020 3:17:00 PM	22.64	18.95	3126.45				MCWQD	SOUNDER			
67037	6/29/2020 10:58:00 AM	22.78	19.09	3126.31				MCWQD	SOUNDER			
67037	7/30/2020 2:50:00 PM	25.55	21.86	3123.54				MCWQD	SOUNDER			
67037	8/31/2020 12:08:00 PM	26.65	22.96	3122.44				MCWQD	SOUNDER			
67037	9/30/2020 9:36:00 AM	26.42	22.73	3122.67				MCWQD	SOUNDER			
67037	10/29/2020 10:51:00 AM	27.85	24.16	3121.24				MCWQD	SOUNDER			
67037	12/9/2020 11:10:31 AM	26.53	22.84	3122.56				MCWQD	SOUNDER			
67037	1/14/2021 1:27:32 PM	26.64	22.95	3122.45				MCWQD	SOUNDER			
67037	2/24/2021 12:00:18 PM	26.9	23.21	3122.19				MCWQD	SOUNDER			
67037	3/17/2021	26.9	23.21	3122.19				MCWQD	SOUNDER			
67037	4/29/2021 11:14:00 AM	25.67	21.98	3123.42				MCWQD	SOUNDER			
67037	6/29/2021 10:18:00 AM	24.39	20.7	3124.7				MCWQD	SOUNDER 			
67037	9/29/2021 2:35:00 PM	27.01	23.32	3122.08				MCWQD	SOUNDER 			
67037	10/29/2021 12:45:00 PM	27	23.31	3122.09				MCWQD	SOUNDER 			
67037	12/1/2021 12:25:00 PM	26.77	23.08	3122.32				MCWQD	SOUNDER			
67037	1/14/2022 3:01:00 PM	26.91	23.22	3122.18				MCWQD	SOUNDER 			
67037	2/17/2022 3:30:00 PM	27.05	23.36	3122.04				MCWQD	SOUNDER 			
67037	3/24/2022 12:10:00 PM	26.71	23.02	3122.38				MCWQD	SOUNDER 			
67037	4/4/2022 2:36:00 PM	26.1	22.41	3122.99				MCWQD	SOUNDER 			
67037	5/10/2022 11:49:00 AM	24.92	21.23	3124.17				MCWQD	SOUNDER 			
67037	6/7/2022 9:09:00 AM	21.71	18.02	3127.38				MCWQD	SOUNDER 			
67037	7/7/2022 10:31:00 AM	23.53	19.84	3125.56				MCWQD	SOUNDER 			
67037	8/12/2022 11:09:00 AM	26.75	23.06	3122.34				MCWQD	SOUNDER 			
67037	9/19/2022 11:56:00 AM	27.05	23.36	3122.04				MCWQD	SOUNDER 			
67037	11/16/2022 12:03:00 PM	27.06	23.37	3122.03				MCWQD	SOUNDER 			
67037	1/12/2023 10:26:15 PM	27.32	23.63	3121.77				MCWQD	SOUNDER 			
67037	2/8/2023 6:33:00 PM	27.4	23.71	3121.69				MCWQD	SOUNDER 			
67037	4/4/2023 1:41:43 PM	27.44	23.75	3121.65				MCWQD	SOUNDER 			
