gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
157214	5/30/1996	68.67	68.67	3373.55				MCWQD	SOUNDER			
157214	8/8/1996	61.21	61.21	3381.01				MCWQD	SOUNDER			
157214	11/20/1996 10:55:00 AM	76.72	76.72	3365.5				MCWQD	SOUNDER	INITIAL GWAA MEASUREMENT		
157214	3/11/1997 12:30:00 PM	77.7	77.7	3364.52				MCWQD	SOUNDER			
157214	5/14/1997 1:30:00 PM	68.98	68.98	3373.24				MCWQD	SOUNDER			
157214	8/20/1997	64.52	64.52	3377.7				MCWQD	SOUNDER			
157214	11/12/1997 10:30:00 AM	77	77	3365.22				MCWQD	SOUNDER			
157214	3/4/1998	80.33	80.33	3361.89				MCWQD	SOUNDER			
157214	5/27/1998	65.56	65.56	3376.66				MCWQD	SOUNDER			
157214	8/17/1998 12:20:00 PM	63.25	63.25	3378.97				MCWQD	SOUNDER			
157214	11/2/1998 4:00:00 PM	71.47	71.47	3370.75				MCWQD	SOUNDER			
157214	3/3/1999 9:38:00 AM	79.11	79.11	3363.11				MCWQD	SOUNDER			
157214	6/29/1999	63.5	63.5	3378.72				MCWQD	SOUNDER			
157214	9/13/1999	67.5	67.5	3374.72				MCWQD	SOUNDER	 		
157214	11/8/1999	75.6	75.6	3366.62				MCWQD	SOUNDER	 		
157214	3/2/2000	81.97	81.97	3360.25				MCWQD	SOUNDER			
157214	6/21/2000	65.5	65.5	3376.72				MCWQD	SOUNDER			
157214	8/9/2000	66.91	66.91	3375.31				MCWQD	SOUNDER			
157214	11/28/2000	78.48	78.48	3363.74				MCWQD	SOUNDER			
157214	3/26/2001	83.8	83.8	3358.42				MCWQD	SOUNDER			
157214	6/13/2001 11:30:00 AM	65.39	65.39	3376.83				MCWQD	SOUNDER	 		
157214	8/29/2001	70.8	70.8	3371.42				MCWQD	SOUNDER	 		
157214	11/1/2001	77	77	3365.22				MCWQD	SOUNDER			
157214	3/12/2002	84.47	84.47	3357.75				MCWQD	SOUNDER	 		
157214	6/3/2002	67.87	67.87	3374.35				MCWQD	SOUNDER	 		
157214	10/9/2002	74.33	74.33	3367.89				MCWQD	SOUNDER			
157214	4/8/2003	82.73	82.73	3359.49				MCWQD	SOUNDER			
157214	7/8/2003	67.23	67.23	3374.99				MCWQD	SOUNDER			
157214	9/29/2003	73.26	73.26	3368.96				MCWQD	SOUNDER			
157214	3/25/2004	82.32	82.32	3359.9				MCWQD	SOUNDER			
157214	7/21/2004	67.41	67.41	3374.81				MCWQD	SOUNDER	 		
157214	11/30/2004	78.89	78.89	3363.33				MCWQD	SOUNDER	 		
157214	5/11/2005	76.91	76.91	3365.31				MCWQD	SOUNDER	 		
157214	8/12/2005	68.72	68.72	3373.5				MCWQD	SOUNDER			
157214	11/17/2005	75.18	75.18	3367.04				MCWQD	SOUNDER			
157214	3/22/2006	79.58	79.58	3362.64				MCWQD	SOUNDER			
157214	5/25/2006	66.38	66.38	3375.84				MCWQD	SOUNDER			
157214	7/20/2006	67.79	67.79	3374.43				MCWQD	SOUNDER			
157214	11/21/2006	76.14	76.14	3366.08				MCWQD	SOUNDER			
157214	4/3/2007	78.82	78.82	3363.4				MCWQD	SOUNDER			
157214	6/12/2007	62.93	62.93	3379.29				MCWQD	SOUNDER			
157214	7/3/2007	63.97	63.97	3378.25				MCWQD	SOUNDER			
157214	9/28/2007	72.25	72.25	3369.97				MCWQD	SOUNDER			
157214	3/27/2008	80.52	80.52	3361.7				MCWQD	SOUNDER			
157214	6/12/2008	69.06	69.06	3373.16				MCWQD	SOUNDER			
157214	6/26/2008	67.1	67.1	3375.12				MCWQD	SOUNDER			
157214	9/24/2008	71.9	71.9	3370.32				MCWQD	SOUNDER			
157214	11/17/2008	77.3	77.3	3364.92				MCWQD	SOUNDER			
