gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
151203	7/5/1995	12.95	12.95	3086.19				MCWQD	SOUNDER			
151203	11/2/1995	13.15	13.15	3085.99				MCWQD	SOUNDER			
151203	2/7/1996	14.18	14.18	3084.96				MCWQD	SOUNDER			
151203	5/20/1996	12.54	12.54	3086.6				MCWQD	SOUNDER			
151203	8/14/1996	12.98	12.98	3086.16				MCWQD	SOUNDER			
151203	11/18/1996	13.68	13.68	3085.46				MCWQD	SOUNDER			
151203	3/4/1997	13.69	13.69	3085.45				MCWQD	SOUNDER			
151203	5/20/1997	11.98	11.98	3087.16				MCWQD	SOUNDER			
151203	8/25/1997	11.71	11.71	3087.43				MCWQD	SOUNDER			
151203	11/18/1997	13.07	13.07	3086.07				MCWQD	SOUNDER			
151203	3/9/1998	13.8	13.8	3085.34				MCWQD	SOUNDER			
151203	5/28/1998	11.91	11.91	3087.23				MCWQD	SOUNDER			
151203	8/17/1998	12.18	12.18	3086.96				MCWQD	SOUNDER			
151203	11/2/1998	13.2	13.2	3085.94				MCWQD	SOUNDER			
151203	2/22/1999	13.82	13.82	3085.32				MCWQD	SOUNDER			
151203	6/21/1999	12.25	12.25	3086.89				MCWQD	SOUNDER			
151203	9/13/1999	12.56	12.56	3086.58				MCWQD	SOUNDER			
151203	11/4/1999	13.1	13.1	3086.04				MCWQD	SOUNDER			
151203	2/2/2000	13.65	13.65	3085.49				MCWQD	SOUNDER			
151203	6/13/2000	12.55	12.55	3086.59				MCWQD	SOUNDER			
151203	8/9/2000	13.93	13.93	3085.21				MCWQD	SOUNDER			
151203	11/29/2000	13.79	13.79	3085.35				MCWQD	SOUNDER			
151203	3/7/2001	14.12	14.12	3085.02				MCWQD	SOUNDER			
151203	6/14/2001	12.55	12.55	3086.59				MCWQD	SOUNDER			
151203	8/29/2001	13	13	3086.14				MCWQD	SOUNDER			
151203	11/2/2001	13.34	13.34	3085.8				MCWQD	SOUNDER			
151203	3/4/2002	13.98	13.98	3085.16				MCWQD	SOUNDER			
151203	6/5/2002	12.3	12.3	3086.84				MCWQD	SOUNDER			
151203	10/10/2002	13.35	13.35	3085.79				MCWQD	SOUNDER			
151203	4/10/2003	13.6	13.6	3085.54				MCWQD	SOUNDER			
151203	7/9/2003	12.05	12.05	3087.09				MCWQD	SOUNDER			
151203	9/29/2003	13.08	13.08	3086.06				MCWQD	SOUNDER			
151203	3/26/2004	13.77	13.77	3085.37				MCWQD	SOUNDER			
151203	7/20/2004	12.97	12.97	3086.17				MCWQD	SOUNDER	 		
151203	11/30/2004	13.45	13.45	3085.69				MCWQD	SOUNDER	 		
151203	5/12/2005	12.92	12.92	3086.22				MCWQD	SOUNDER	 		
151203	8/11/2022 11:07:00 AM	11.55	11.55	3087.59				MCWQD	SOUNDER 			
151203	9/20/2022 3:02:00 PM	11.76	11.76	3087.38				MCWQD	SOUNDER 			
151203	11/18/2022 1:49:00 PM	13.26	13.26	3085.88				MCWQD	SOUNDER 			
151203	1/17/2023 10:07:00 PM	13.66	13.66	3085.48				MCWQD	SOUNDER 			
151203	2/13/2023 8:01:44 PM	13.69	13.69	3085.45				MCWQD	SOUNDER 			
151203	4/3/2023 6:13:30 PM	13.03	13.03	3086.11				MCWQD	SOUNDER 			
