gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
69402	7/27/1986	53.59	53.59	3139.97				UM	UNKNOWN			
69402	8/14/1986	55.57	55.57	3137.99				UM	UNKNOWN			
69402	10/1/1986	54.99	54.99	3138.57				UM	UNKNOWN			
69402	10/22/1986	56.4	56.4	3137.16				UM	UNKNOWN			
69402	12/4/1986	58.38	58.38	3135.18				UM	UNKNOWN			
69402	12/14/1986	58.82	58.82	3134.74				UM	UNKNOWN			
69402	1/27/1987	60.17	60.17	3133.39				UM	UNKNOWN			
69402	2/10/1987	60.4	60.4	3133.16				UM	UNKNOWN			
69402	3/20/1987	60.92	60.92	3132.64				UM	UNKNOWN			
69402	4/25/1987	60.42	60.42	3133.14				UM	UNKNOWN			
69402	6/2/1987	54.25	54.25	3139.31				UM	UNKNOWN			
69402	7/1/1995	53.57	53.57	3139.99				MCWQD	SOUNDER			
69402	10/31/1995 1:00:00 PM	57.31	57.31	3136.25				MCWQD	SOUNDER			
69402	2/16/1996 8:48:00 AM	57.8	57.8	3135.76				MCWQD	SOUNDER			
69402	5/29/1996 2:34:00 PM	51.41	51.41	3142.15				MBMG	SOUNDER			
69402	8/15/1996 2:45:00 PM	54.83	54.83	3138.73				MCWQD	SOUNDER			
69402	11/20/1996 2:20:00 PM	58.38	58.38	3135.18				MCWQD	SOUNDER			
69402	3/13/1997 3:30:00 PM	59.83	59.83	3133.73				MCWQD	SOUNDER			
69402	5/15/1997 4:00:00 PM	53.32	53.32	3140.24				MCWQD	SOUNDER			
69402	8/22/1997 12:45:00 PM	53.25	53.25	3140.31				MCWQD	SOUNDER			
69402	11/21/1997 9:45:00 AM	57.08	57.08	3136.48				MCWQD	SOUNDER			
69402	3/11/1998	61.14	61.14	3132.42				MCWQD	SOUNDER			
69402	6/1/1998	53.85	53.85	3139.71				MCWQD	SOUNDER			
69402	8/3/1998 12:45:00 PM	52.89	52.89	3140.67				MCWQD	SOUNDER			
69402	11/6/1998 10:30:00 AM	57.33	57.33	3136.23				MCWQD	SOUNDER			
69402	3/8/1999 4:00:00 PM	60.02	60.02	3133.54				MCWQD	SOUNDER			
69402	6/23/1999	52.49	52.49	3141.07				MBMG	SOUNDER			
69402	9/14/1999	56.7	56.7	3136.86				MCWQD	SOUNDER	 		
69402	11/4/1999	57.85	57.85	3135.71				MCWQD	SOUNDER	 		
69402	3/9/2000	61	61	3132.56				MCWQD	SOUNDER			
69402	6/21/2000	56.16	56.16	3137.4				MCWQD	SOUNDER			
69402	8/11/2000	58.85	58.85	3134.71				MCWQD	SOUNDER			
69402	11/30/2000	59.16	59.16	3134.4				MCWQD	SOUNDER			
69402	4/3/2001	61.3	61.3	3132.26				MCWQD	SOUNDER			
69402	6/21/2001 4:15:00 PM	55.96	55.96	3137.6				MCWQD	SOUNDER	 		
69402	8/29/2001	58.55	58.55	3135.01				MCWQD	SOUNDER	 		
69402	11/2/2001	59.53	59.53	3134.03				MCWQD	SOUNDER	 		
69402	3/18/2002	62.29	62.29	3131.27				MCWQD	SOUNDER	 		
69402	6/11/2002	54.83	54.83	3138.73				MCWQD	SOUNDER	 		
69402	10/9/2002	58.03	58.03	3135.53				MCWQD	SOUNDER			
69402	4/15/2003	61.01	61.01	3132.55				MCWQD	SOUNDER			
69402	7/10/2003	55.21	55.21	3138.35				MCWQD	SOUNDER			
69402	10/1/2003	58.52	58.52	3135.04				MCWQD	SOUNDER			
69402	3/30/2004	61.25	61.25	3132.31				MCWQD	SOUNDER			
69402	8/11/2004	57.66	57.66	3135.9				MCWQD	SOUNDER	 		
69402	12/3/2004	58.64	58.64	3134.92				MCWQD	SOUNDER	 		
69402	5/17/2005	57.35	57.35	3136.21				MCWQD	SOUNDER	 		
69402	8/17/2005	58.34	58.34	3135.22				MCWQD	SOUNDER			
69402	11/17/2005	59.31	59.31	3134.25				MCWQD	SOUNDER			
69402	3/23/2006	61.09	61.09	3132.47				MCWQD	SOUNDER			
69402	5/26/2006	54.44	54.44	3139.12				MCWQD	SOUNDER			
69402	7/13/2006	54.84	54.84	3138.72				MCWQD	SOUNDER			
69402	11/21/2006	59.84	59.84	3133.72				MCWQD	SOUNDER			
69402	4/7/2007	61.38	61.38	3132.18				MCWQD	SOUNDER			
69402	6/12/2007	54.5	54.5	3139.06				MCWQD	SOUNDER			
69402	7/3/2007	55.71	55.71	3137.85				MCWQD	SOUNDER			
69402	9/28/2007	60.8	60.8	3132.76				MCWQD	SOUNDER			
69402	4/3/2008	64.6	64.6	3128.96				MCWQD	SOUNDER			
69402	6/13/2008	54.95	54.95	3138.61				MCWQD	SOUNDER			
69402	6/26/2008	53.5	53.5	3140.06				MCWQD	SOUNDER			
69402	9/25/2008	58.46	58.46	3135.1				MCWQD	SOUNDER			
69402	11/14/2008	59.95	59.95	3133.61				MCWQD	SOUNDER			
69402	4/8/2009	60.34	60.34	3133.22				MCWQD	SOUNDER			
69402	6/3/2009	53.9	53.9	3139.66				MCWQD	SOUNDER			
69402	7/1/2009	52.19	52.19	3141.37				MCWQD	SOUNDER			
69402	10/23/2009	57.84	57.84	3135.72				MCWQD	SOUNDER			
69402	3/26/2010	61.39	61.39	3132.17				MCWQD	SOUNDER			
69402	6/25/2010	54.48	54.48	3139.08				MCWQD	SOUNDER			
69402	7/27/2010	56.07	56.07	3137.49				MCWQD	SOUNDER			
69402	10/18/2010	58.34	58.34	3135.22				MCWQD	SOUNDER			
69402	3/28/2011	61.77	61.77	3131.79				MCWQD	SOUNDER			
69402	6/14/2011	48.96	48.96	3144.6				MCWQD	SOUNDER			
69402	6/30/2011	47.6	47.6	3145.96				MCWQD	SOUNDER			
69402	11/9/2011	56.2	56.2	3137.36				MCWQD	SOUNDER			
69402	4/16/2012	57.82	57.82	3135.74				MCWQD	SOUNDER			
69402	5/31/2012	51.25	51.25	3142.31				MCWQD	SOUNDER			
69402	7/3/2012	51.2	51.2	3142.36				MCWQD	SOUNDER			
69402	11/1/2012	57.5	57.5	3136.06				MCWQD	SOUNDER			
69402	3/25/2013	60.6	60.6	3132.96				MCWQD	SOUNDER			
69402	5/22/2013	55.98	55.98	3137.58				MCWQD	SOUNDER			
69402	7/2/2013	53.24	53.24	3140.32				MCWQD	SOUNDER			
69402	10/25/2013	57.55	57.55	3136.01				MCWQD	SOUNDER			
69402	4/8/2014	58.53	58.53	3135.03				MCWQD	SOUNDER			
69402	6/4/2014	50.74	50.74	3142.82				MCWQD	SOUNDER			
69402	10/27/2014	56.11	56.11	3137.45				MCWQD	SOUNDER			
69402	3/26/2015	56.8	56.8	3136.76				MCWQD	SOUNDER			
69402	6/3/2015	53.5	53.5	3140.06				MCWQD	SOUNDER			
69402	9/29/2015	58.2	58.2	3135.36				MCWQD	SOUNDER			
69402	2/9/2016	60.2	60.2	3133.36				MCWQD	SOUNDER			
69402	4/5/2016	60.22	60.22	3133.34				MCWQD	SOUNDER			
69402	5/26/2016	54.15	54.15	3139.41				MCWQD	SOUNDER			
69402	9/23/2016	58.3	58.3	3135.26				MCWQD	SOUNDER			
69402	12/2/2016	58.23	58.23	3135.33				MCWQD	SOUNDER			
69402	3/28/2017	55.97	55.97	3137.59				MCWQD	SOUNDER			
