gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
151191	12/30/1985	37.59	35.69	3153.79		UM	UNKNOWN			
151191	2/5/1986	38.84	36.94	3152.54		UM	UNKNOWN			
151191	2/28/1986	38.55	36.65	3152.83		UM	UNKNOWN			
151191	3/27/1986	37.4	35.5	3153.98		UM	UNKNOWN			
151191	5/5/1986	34.09	32.19	3157.29		UM	UNKNOWN			
151191	6/19/1986	31.29	29.39	3160.09		UM	UNKNOWN			
151191	7/24/1986	35.37	33.47	3156.01		UM	UNKNOWN			
151191	8/14/1986	37.02	35.12	3154.36		UM	UNKNOWN			
151191	9/30/1986	38.45	36.55	3152.93		UM	UNKNOWN			
151191	10/22/1986	39.19	37.29	3152.19		UM	UNKNOWN			
151191	12/4/1986	41.93	40.03	3149.45		UM	UNKNOWN			
151191	12/14/1986	42.43	40.53	3148.95		UM	UNKNOWN			
151191	1/27/1987	42.7	40.8	3148.68		UM	UNKNOWN			
151191	2/11/1987	43.4	41.5	3147.98		UM	UNKNOWN			
151191	3/21/1987	43.5	41.6	3147.88		UM	UNKNOWN			
151191	4/15/1987	43.24	41.34	3148.14		UM	UNKNOWN			
151191	4/25/1987	41.83	39.93	3149.55		UM	UNKNOWN			
151191	6/2/1987	34.08	32.18	3157.3		UM	UNKNOWN			
151191	7/30/1987	36.06	34.16	3155.32		UM	UNKNOWN			
151191	7/1/1995	30.71	28.81	3160.67		MCWQD	SOUNDER			
151191	11/1/1995 4:10:00 PM	36.52	34.62	3154.86		MCWQD	SOUNDER			
151191	2/15/1996 8:37:00 AM	37.14	35.24	3154.24		MCWQD	SOUNDER			
151191	3/11/1996	37.14	35.24	3154.24		MCWQD	SOUNDER			
151191	5/21/1996 11:50:00 AM	26.47	24.57	3164.91		MCWQD	SOUNDER			
151191	8/15/1996 1:30:00 PM	33.16	31.26	3158.22		MCWQD	SOUNDER			
151191	11/13/1996 4:00:00 PM	36.53	34.63	3154.85		MCWQD	SOUNDER			
151191	3/17/1997 3:30:00 PM	37.86	35.96	3153.52		MCWQD	SOUNDER			
