gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
151179	7/1/1995	21.5	21.5	3125.6		MCWQD	SOUNDER			
151179	7/5/1995	21.56	21.56	3125.54		MCWQD	SOUNDER			
151179	11/2/1995 11:32:00 AM	22.29	22.29	3124.81		MCWQD	SOUNDER			
151179	2/7/1996 2:50:00 PM	23.83	23.83	3123.27		MCWQD	SOUNDER			
151179	5/20/1996 2:15:00 PM	18.95	18.95	3128.15		MCWQD	SOUNDER			
151179	8/14/1996 9:00:00 AM	20.66	20.66	3126.44		MCWQD	SOUNDER			
151179	11/18/1996 8:45:00 AM	22.56	22.56	3124.54		MCWQD	SOUNDER			
151179	3/4/1997 12:20:00 PM	24	24	3123.1		MCWQD	SOUNDER			
151179	5/20/1997 3:10:00 PM	15.7	15.7	3131.4		MCWQD	SOUNDER			
151179	8/25/1997	19.53	19.53	3127.57		MCWQD	SOUNDER			
151179	11/17/1997 2:50:00 PM	21.72	21.72	3125.38		MCWQD	SOUNDER			
151179	3/9/1998	24.07	24.07	3123.03		MCWQD	SOUNDER			
151179	5/28/1998	19.18	19.18	3127.92		MCWQD	SOUNDER			
151179	8/17/1998 2:10:00 PM	20.16	20.16	3126.94		MCWQD	SOUNDER			
151179	11/2/1998 11:53:00 AM	21.35	21.35	3125.75		MCWQD	SOUNDER			
151179	2/22/1999 4:15:00 PM	23.99	23.99	3123.11		MCWQD	SOUNDER			
151179	6/29/1999	19.28	19.28	3127.82		MCWQD	SOUNDER			
151179	9/13/1999	21.25	21.25	3125.85		MCWQD	SOUNDER	 		
151179	11/4/1999	22.25	22.25	3124.85		MCWQD	SOUNDER	 		
151179	3/1/2000	24.15	24.15	3122.95		MCWQD	SOUNDER			
151179	6/15/2000	21.02	21.02	3126.08		MCWQD	SOUNDER			
151179	8/9/2000	21.81	21.81	3125.29		MCWQD	SOUNDER			
151179	11/29/2000	23.47	23.47	3123.63		MCWQD	SOUNDER			
151179	3/7/2001	25.1	25.1	3122		MCWQD	SOUNDER			
151179	6/14/2001 12:50:00 PM	20.62	20.62	3126.48		MCWQD	SOUNDER	 		
151179	8/29/2001	21.59	21.59	3125.51		MCWQD	SOUNDER	 		
151179	11/2/2001	21.46	21.46	3125.64		MCWQD	SOUNDER	 		
151179	3/12/2002	24.81	24.81	3122.29		MCWQD	SOUNDER	 		
151179	6/5/2002	18.44	18.44	3128.66		MCWQD	SOUNDER	 		
151179	10/10/2002	22.02	22.02	3125.08		MCWQD	SOUNDER			
151179	4/10/2003	25.37	25.37	3121.73		MCWQD	SOUNDER			
151179	7/9/2003	20.8	20.8	3126.3		MCWQD	SOUNDER			
151179	10/1/2003	21.72	21.72	3125.38		MCWQD	SOUNDER			
151179	3/29/2004	25.31	25.31	3121.79		MCWQD	SOUNDER			
151179	8/11/2004	21.32	21.32	3125.78		MCWQD	SOUNDER	 		
151179	11/30/2004	22.67	22.67	3124.43		MCWQD	SOUNDER	 		
151179	5/12/2005	22.68	22.68	3124.42		MCWQD	SOUNDER	 		
151179	8/19/2005	20.4	20.4	3126.7		MCWQD	SOUNDER			
151179	11/22/2005	21.9	21.9	3125.2		MCWQD	SOUNDER			
151179	3/27/2006	24.68	24.68	3122.42		MCWQD	SOUNDER			
151179	5/26/2006	17.99	17.99	3129.11		MCWQD	SOUNDER			
151179	7/19/2006	20.26	20.26	3126.84		MCWQD	SOUNDER			
151179	11/22/2006	21.59	21.59	3125.51		MCWQD	SOUNDER			
151179	4/6/2007	24.23	24.23	3122.87		MCWQD	SOUNDER			
151179	6/12/2007	20.95	20.95	3126.15		MCWQD	SOUNDER			
151179	7/9/2007	21.09	21.09	3126.01		MCWQD	SOUNDER			
151179	10/2/2007	20.86	20.86	3126.24		MCWQD	SOUNDER			
151179	4/7/2008	25.44	25.44	3121.66		MCWQD	SOUNDER			
151179	6/13/2008	19.75	19.75	3127.35		MCWQD	SOUNDER			
151179	6/30/2008	18.33	18.33	3128.77		MCWQD	SOUNDER			
151179	9/25/2008	20.02	20.02	3127.08		MCWQD	SOUNDER			
151179	11/18/2008	22.1	22.1	3125		MCWQD	SOUNDER			
151179	4/8/2009	24.65	24.65	3122.45		MCWQD	SOUNDER			
151179	6/2/2009	18.2	18.2	3128.9		MCWQD	SOUNDER			
151179	7/1/2009	19.59	19.59	3127.51		MCWQD	SOUNDER			
151179	10/6/2009	21.25	21.25	3125.85		MCWQD	SOUNDER			
151179	3/25/2010	25.25	25.25	3121.85		MCWQD	SOUNDER			
151179	6/25/2010	19.95	19.95	3127.15		MCWQD	SOUNDER			
151179	7/29/2010	21.12	21.12	3125.98		MCWQD	SOUNDER			
151179	10/14/2010	21.55	21.55	3125.55		MCWQD	SOUNDER			
151179	3/23/2011	24.55	24.55	3122.55		MCWQD	SOUNDER			
151179	6/15/2011	17	17	3130.1		MCWQD	SOUNDER			
151179	7/1/2011	15.12	15.12	3131.98		MCWQD	SOUNDER			
151179	11/9/2011	20.78	20.78	3126.32		MCWQD	SOUNDER			
151179	4/17/2012	22.4	22.4	3124.7		MCWQD	SOUNDER			
151179	6/1/2012	19.65	19.65	3127.45		MCWQD	SOUNDER			
151179	7/3/2012	18.8	18.8	3128.3		MCWQD	SOUNDER			
151179	10/31/2012	22.75	22.75	3124.35		MCWQD	SOUNDER			
151179	3/26/2013	24.7	24.7	3122.4		MCWQD	SOUNDER			
151179	5/23/2013	18.3	18.3	3128.8		MCWQD	SOUNDER			
151179	7/3/2013	19.85	19.85	3127.25		MCWQD	SOUNDER			
151179	10/25/2013	22.23	22.23	3124.87		MCWQD	SOUNDER			
151179	4/11/2014	23.82	23.82	3123.28		MCWQD	SOUNDER			
151179	6/5/2014	16.82	16.82	3130.28		MCWQD	SOUNDER			
151179	11/3/2014	19.85	19.85	3127.25		MCWQD	SOUNDER			
151179	3/24/2015	20.82	20.82	3126.28		MCWQD	SOUNDER			
151179	6/4/2015	18.13	18.13	3128.97		MCWQD	SOUNDER			
151179	9/29/2015	22.12	22.12	3124.98		MCWQD	SOUNDER			
151179	2/11/2016	24.05	24.05	3123.05		MCWQD	SOUNDER			
151179	4/6/2016	24.04	24.04	3123.06		MCWQD	SOUNDER			
151179	5/27/2016	19.76	19.76	3127.34		MCWQD	SOUNDER			
151179	9/26/2016	21.2	21.2	3125.9		MCWQD	SOUNDER			
151179	12/5/2016	21.92	21.92	3125.18		MCWQD	SOUNDER			
151179	3/29/2017	20.75	20.75	3126.35		MCWQD	SOUNDER			
151179	6/2/2017	14.95	14.95	3132.15		MCWQD	SOUNDER			
151179	9/28/2017	20.71	20.71	3126.39		MCWQD	SOUNDER			
151179	12/7/2017	22.01	22.01	3125.09		MCWQD	SOUNDER			
151179	4/10/2018	23.04	23.04	3124.06		MCWQD	SOUNDER			
151179	5/23/2018	15.99	15.99	3131.11		MCWQD	SOUNDER			
151179	8/30/2018	19.76	19.76	3127.34		MCWQD	SOUNDER			
151179	12/7/2018	22.82	22.82	3124.28		MCWQD	SOUNDER			
151179	4/4/2019	23.96	23.96	3123.14		MCWQD	SOUNDER			
151179	5/23/2019	17.35	17.35	3129.75		MCWQD	SOUNDER			
151179	9/26/2019	20.76	20.76	3126.34		MCWQD	SOUNDER			
151179	1/9/2020 5:19:00 PM	23.12	23.12	3123.98		MCWQD	SOUNDER			
151179	2/5/2020 5:59:00 PM	23.52	23.52	3123.58		MCWQD	SOUNDER			
