gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
209255	3/9/1999	50.56	48.16	3137.17		MCWQD	SOUNDER			
209255	6/23/1999	40.92	38.52	3146.81		MCWQD	SOUNDER			
209255	9/14/1999	46.00	43.6	3141.73		MCWQD	SOUNDER			
209255	11/4/1999	48.42	46.02	3139.31		MCWQD	SOUNDER			
209255	3/7/2000	57.3	54.9	3130.43		MCWQD	SOUNDER			
209255	6/21/2000	44.89	42.49	3142.84		MCWQD	SOUNDER			
209255	8/11/2000	47.87	45.47	3139.86		MCWQD	SOUNDER			
209255	11/29/2000	49.78	47.38	3137.95		MCWQD	SOUNDER			
209255	3/27/2001	51.7	49.3	3136.03		MCWQD	SOUNDER			
209255	6/20/2001	44.65	42.25	3143.08		MCWQD	SOUNDER			
209255	8/30/2001	47.64	45.24	3140.09		MCWQD	SOUNDER			
209255	11/7/2001	49.23	46.83	3138.5		MCWQD	SOUNDER			
209255	3/19/2002	53.09	50.69	3134.64		MCWQD	SOUNDER			
209255	6/19/2002	42.24	39.84	3145.49		MCWQD	SOUNDER			
209255	10/9/2002	48.35	45.95	3139.38		MCWQD	SOUNDER			
209255	4/15/2003	51.36	48.96	3136.37		MCWQD	SOUNDER			
209255	7/10/2003	44.36	41.96	3143.37		MCWQD	SOUNDER			
209255	9/30/2003	48.53	46.13	3139.2		MCWQD	SOUNDER			
209255	3/31/2004	51.92	49.52	3135.81		MCWQD	SOUNDER			
209255	8/12/2004	48.16	45.76	3139.57		MCWQD	SOUNDER	 		
209255	12/3/2004	49.93	47.53	3137.8		MCWQD	SOUNDER	 		
209255	5/18/2005	45.7	43.3	3142.03		MCWQD	SOUNDER	 		
209255	11/23/2005	50.09	47.69	3137.64		MCWQD	SOUNDER			
209255	3/23/2006	51.75	49.35	3135.98		MCWQD	SOUNDER			
209255	5/26/2006	41.24	38.84	3146.49		MCWQD	SOUNDER			
209255	7/21/2006	45.22	42.82	3142.51		MCWQD	SOUNDER			
209255	11/22/2006	50.28	47.88	3137.45		MCWQD	SOUNDER			
209255	4/19/2007	51.54	49.14	3136.19		MCWQD	SOUNDER			
209255	6/13/2007	43.95	41.55	3143.78		MCWQD	SOUNDER			
209255	7/17/2007	46.81	44.41	3140.92		MCWQD	SOUNDER			
209255	10/2/2007	51.00	48.6	3136.73		MCWQD	SOUNDER			
209255	3/12/2008	55.05	52.65	3132.68		MCWQD	SOUNDER			
209255	6/13/2008	40.04	37.64	3147.69		MCWQD	SOUNDER			
209255	7/1/2008	41.06	38.66	3146.67		MCWQD	SOUNDER			
209255	9/26/2008	47.95	45.55	3139.78		MCWQD	SOUNDER			
209255	11/19/2008	50.28	47.88	3137.45		MCWQD	SOUNDER			
209255	4/8/2009	52.32	49.92	3135.41		MCWQD	SOUNDER			
209255	6/2/2009	38.65	36.25	3149.08		MCWQD	SOUNDER			
209255	7/2/2009	41.39	38.99	3146.34		MCWQD	SOUNDER			
209255	3/25/2010	53.58	51.18	3134.15		MCWQD	SOUNDER			
209255	6/25/2010	43.5	41.1	3144.23		MCWQD	SOUNDER			
209255	7/29/2010	45.85	43.45	3141.88		MCWQD	SOUNDER			
209255	10/14/2010	49.15	46.75	3138.58		MCWQD	SOUNDER			
209255	3/24/2011	52.27	49.87	3135.46		MCWQD	SOUNDER			
209255	6/15/2011	33.5	31.1	3154.23		MCWQD	SOUNDER			
209255	6/30/2011	35.02	32.62	3152.71		MCWQD	SOUNDER			
209255	11/9/2011	46.2	43.8	3141.53		MCWQD	SOUNDER			
209255	4/17/2012	44.41	42.01	3143.32		MCWQD	SOUNDER			
209255	6/1/2012	39.35	36.95	3148.38		MCWQD	SOUNDER			
209255	7/2/2012	39.88	37.48	3147.85		MCWQD	SOUNDER			
209255	10/31/2012	47.63	45.23	3140.1		MCWQD	SOUNDER			
209255	3/27/2013	50.82	48.42	3136.91		MCWQD	SOUNDER			
209255	5/23/2013	41.7	39.3	3146.03		MCWQD	SOUNDER			
209255	7/3/2013	41.94	39.54	3145.79		MCWQD	SOUNDER			
209255	10/25/2013	48.05	45.65	3139.68		MCWQD	SOUNDER			
209255	4/8/2014	49.18	46.78	3138.55		MCWQD	SOUNDER			
209255	6/3/2014	37.6	35.2	3150.13		MCWQD	SOUNDER			
209255	11/3/2014	46.53	44.13	3141.2		MCWQD	SOUNDER			
209255	3/26/2015	45.04	42.64	3142.69		MCWQD	SOUNDER			
209255	6/4/2015	41.57	39.17	3146.16		MCWQD	SOUNDER			
209255	9/29/2015	48.53	46.13	3139.2		MCWQD	SOUNDER			
209255	2/11/2016	51.09	48.69	3136.64		MCWQD	SOUNDER			
209255	4/6/2016	50.8	48.4	3136.93		MCWQD	SOUNDER			
209255	5/27/2016	42.62	40.22	3145.11		MCWQD	SOUNDER			
209255	9/26/2016	48.45	46.05	3139.28		MCWQD	SOUNDER			
