gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
136400	12/30/1985	19.49	19.49	3139.85				UM	STEEL TAPE	 MISSOULA VALLEY AQ. STUDY		
136400	2/3/1986	20.11	20.11	3139.23				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	2/28/1986	19.03	19.03	3140.31				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	3/27/1986	18.1	18.1	3141.24				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	5/5/1986	16.23	16.23	3143.11				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	5/8/1986	16.1	16.1	3143.24				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	6/19/1986	13.1	13.1	3146.24				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	7/30/1986	15.6	15.6	3143.74				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	8/14/1986	16.67	16.67	3142.67				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	9/30/1986	17.59	17.59	3141.75				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	10/22/1986	19	19	3140.34				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	12/5/1986	21.09	21.09	3138.25				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	12/14/1986	21.6	21.6	3137.74				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	1/27/1987	22.62	22.62	3136.72				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	2/11/1987	23.06	23.06	3136.28				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	3/20/1987	22.58	22.58	3136.76				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	4/25/1987	20.12	20.12	3139.22				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	6/2/1987	14.61	14.61	3144.73				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	7/20/1987	16.53	16.53	3142.81				UM	STEEL TAPE	MISSOULA VALLEY AQ. STUDY		
136400	8/11/2004	19.91	19.91	3139.43				MCWQD	SOUNDER	 		
136400	12/3/2004	22.53	22.53	3136.81				MCWQD	SOUNDER	 		
136400	6/8/2005	15.58	15.58	3143.76				MCWQD	SOUNDER	 		
136400	8/26/2005	20.33	20.33	3139.01				MCWQD	SOUNDER			
136400	11/18/2005	22.55	22.55	3136.79				MCWQD	SOUNDER			
136400	3/21/2006	24.25	24.25	3135.09				MCWQD	SOUNDER			
136400	5/26/2006	13.82	13.82	3145.52				MCWQD	SOUNDER			
136400	7/13/2006	17.55	17.55	3141.79				MCWQD	SOUNDER			
136400	11/22/2006	22.84	22.84	3136.5				MCWQD	SOUNDER			
136400	4/5/2007	23.96	23.96	3135.38				MCWQD	SOUNDER			
136400	6/12/2007	16.5	16.5	3142.84				MCWQD	SOUNDER			
136400	7/17/2007	19.68	19.68	3139.66				MCWQD	SOUNDER			
136400	9/28/2007	23.03	23.03	3136.31				MCWQD	SOUNDER			
136400	4/2/2008	27.43	27.43	3131.91				MCWQD	SOUNDER			
136400	6/13/2008	13.21	13.21	3146.13				MCWQD	SOUNDER			
136400	7/1/2008	14.6	14.6	3144.74				MCWQD	SOUNDER			
136400	9/26/2008	20.5	20.5	3138.84				MCWQD	SOUNDER			
136400	4/7/2009	24.42	24.42	3134.92				MCWQD	SOUNDER			
136400	6/3/2009	11.6	11.6	3147.74				MCWQD	SOUNDER			
136400	7/2/2009	15.02	15.02	3144.32				MCWQD	SOUNDER			
136400	10/23/2009	22	22	3137.34				MCWQD	SOUNDER			
136400	3/26/2010	25.7	25.7	3133.64				MCWQD	SOUNDER			
136400	6/25/2010	15.85	15.85	3143.49				MCWQD	SOUNDER			
136400	7/27/2010	18.39	18.39	3140.95				MCWQD	SOUNDER			
136400	3/29/2011	24.64	24.64	3134.7				MCWQD	SOUNDER			
136400	6/15/2011	7.92	7.92	3151.42				MCWQD	SOUNDER			
136400	6/29/2011	9.43	9.43	3149.91				MCWQD	SOUNDER			
136400	10/14/2011	21.56	21.56	3137.78				MCWQD	SOUNDER			
136400	11/9/2011	19.2	19.2	3140.14				MCWQD	SOUNDER			
136400	4/17/2012	16.83	16.83	3142.51				MCWQD	SOUNDER			
136400	5/31/2012	13.4	13.4	3145.94				MCWQD	SOUNDER			
136400	7/5/2012	14.29	14.29	3145.05				MCWQD	SOUNDER			
136400	10/31/2012	20.25	20.25	3139.09				MCWQD	SOUNDER			
136400	3/25/2013	23.16	23.16	3136.18				MCWQD	SOUNDER			
136400	5/22/2013	14.7	14.7	3144.64				MCWQD	SOUNDER			
136400	7/1/2013	15.39	15.39	3143.95				MCWQD	SOUNDER			
136400	10/25/2013	20.65	20.65	3138.69				MCWQD	SOUNDER			
136400	4/11/2014	19.65	19.65	3139.69				MCWQD	SOUNDER			
136400	6/3/2014	11.47	11.47	3147.87				MCWQD	SOUNDER			
136400	10/31/2014	19.3	19.3	3140.04				MCWQD	SOUNDER			
136400	3/27/2015	17.49	17.49	3141.85				MCWQD	SOUNDER			
136400	6/3/2015	14.73	14.73	3144.61				MCWQD	SOUNDER			
136400	9/28/2015	20.9	20.9	3138.44				MCWQD	SOUNDER			
136400	2/10/2016	23.44	23.44	3135.9				MCWQD	SOUNDER			
136400	4/6/2016	23.04	23.04	3136.3				MCWQD	SOUNDER			
136400	5/26/2016	15.42	15.42	3143.92				MCWQD	SOUNDER			
136400	9/23/2016	20.83	20.83	3138.51				MCWQD	SOUNDER			
136400	12/5/2016	21.65	21.65	3137.69				MCWQD	SOUNDER			
136400	3/29/2017	17.17	17.17	3142.17				MCWQD	SOUNDER			
136400	5/31/2017	12.28	12.28	3147.06				MCWQD	SOUNDER			
136400	9/28/2017	19.23	19.23	3140.11				MCWQD	SOUNDER			
136400	12/6/2017	21.06	21.06	3138.28				MCWQD	SOUNDER			
136400	4/12/2018	20.29	20.29	3139.05				MCWQD	SOUNDER			
136400	5/24/2018	8.61	8.61	3150.73				MCWQD	SOUNDER			
136400	8/30/2018	17.14	17.14	3142.2				MCWQD	SOUNDER			
136400	12/6/2018	20.12	20.12	3139.22				MCWQD	SOUNDER			
136400	4/4/2019	18.87	18.87	3140.47				MCWQD	SOUNDER			
136400	5/22/2019	12.19	12.19	3147.15				MCWQD	SOUNDER			
136400	9/25/2019	18.54	18.54	3140.8				MCWQD	SOUNDER			
136400	1/10/2020 3:37:00 PM	22.23	22.23	3137.11				MCWQD	SOUNDER			
136400	2/4/2020 9:24:00 PM	22.98	22.98	3136.36				MCWQD	SOUNDER			
136400	3/17/2020 4:55:00 PM	23.75	23.75	3135.59				MCWQD	SOUNDER			
136400	4/27/2020 11:47:00 AM	18.65	18.65	3140.69				MCWQD	SOUNDER			
136400	5/26/2020 1:35:00 PM	12.2	12.2	3147.14				MCWQD	SOUNDER			
136400	6/29/2020 9:54:00 AM	13.54	13.54	3145.8				MCWQD	SOUNDER			
136400	7/30/2020 1:07:00 PM	15.54	15.54	3143.8				MCWQD	SOUNDER			
136400	8/31/2020 11:22:00 AM	18.35	18.35	3140.99				MCWQD	SOUNDER			
136400	9/29/2020 1:12:00 PM	19.29	19.29	3140.05				MCWQD	SOUNDER			
136400	10/28/2020 12:18:00 PM	19.02	19.02	3140.32				MCWQD	SOUNDER			
136400	11/23/2020 2:50:00 PM	18.94	18.94	3140.4				MCWQD	SOUNDER			
136400	12/9/2020	16.8	16.8	3142.54				MCWQD	SOUNDER			
136400	1/12/2021 2:35:35 PM	22.1	22.1	3137.24				MCWQD	SOUNDER			
136400	2/24/2021 2:35:31 PM	22.76	22.76	3136.58				MCWQD	SOUNDER			
136400	3/16/2021 8:58:00 AM	22.62	22.62	3136.72				MCWQD	SOUNDER			
136400	5/4/2021 1:06:00 PM	16.67	16.67	3142.67				MCWQD	SOUNDER			
136400	6/29/2021 9:17:00 AM	14.85	14.85	3144.49				MCWQD	SOUNDER 			
136400	9/29/2021 2:05:00 PM	20.87	20.87	3138.47				MCWQD	SOUNDER 			
136400	10/28/2021 12:56:00 PM	25.29	25.29	3134.05				MCWQD	SOUNDER 			
136400	11/24/2021 1:06:00 PM	22.22	22.22	3137.12				MCWQD	SOUNDER			
136400	1/14/2022 2:12:00 PM	17.99	17.99	3141.35				MCWQD	SOUNDER 			
136400	2/18/2022 11:48:00 AM	21.84	21.84	3137.5				MCWQD	SOUNDER 			
136400	3/22/2022 11:46:00 AM	21.85	21.85	3137.49				MCWQD	SOUNDER 			
136400	4/7/2022 1:10:00 PM	18.86	18.86	3140.48				MCWQD	SOUNDER 			
136400	5/10/2022 9:59:00 AM	16.65	16.65	3142.69				MCWQD	SOUNDER 			
136400	6/6/2022 2:16:00 PM	13.82	13.82	3145.52				MCWQD	SOUNDER 			
136400	7/11/2022 2:19:00 PM	14.61	14.61	3144.73				MCWQD	SOUNDER 			
136400	8/10/2022 2:24:00 PM	18.29	18.29	3141.05				MCWQD	SOUNDER 			
136400	9/15/2022 11:50:00 AM	20.29	20.29	3139.05				MCWQD	SOUNDER 			
136400	11/21/2022 10:40:00 AM	22.09	22.09	3137.25				MCWQD	SOUNDER 			
136400	1/11/2023 9:44:08 PM	22.92	22.92	3136.42				MCWQD	SOUNDER 			
136400	2/7/2023 9:39:23 PM	23.5	23.5	3135.84				MCWQD	SOUNDER 			
136400	4/3/2023 9:03:41 PM	23.7	23.7	3135.64				MCWQD	SOUNDER 			
