gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
157207	11/18/1996	25.7	25.7	3049.88				MCWQD	SOUNDER			
157207	3/4/1997	29.57	29.57	3046.01				MCWQD	SOUNDER			
157207	5/20/1997	26.15	26.15	3049.43				MCWQD	SOUNDER			
157207	8/26/1997	21.92	21.92	3053.66				MCWQD	SOUNDER			
157207	11/18/1997	26.05	26.05	3049.53				MCWQD	SOUNDER			
157207	3/3/1998	29.99	29.99	3045.59				MCWQD	SOUNDER			
157207	6/3/1998	28.2	28.2	3047.38				MCWQD	SOUNDER			
157207	8/17/1998	22.56	22.56	3053.02				MCWQD	SOUNDER			
157207	11/2/1998	24.98	24.98	3050.6				MCWQD	SOUNDER			
157207	2/22/1999	29.45	29.45	3046.13				MCWQD	SOUNDER			
157207	6/23/1999	25.97	25.97	3049.61				MCWQD	SOUNDER			
157207	9/13/1999	23.32	23.32	3052.26				MCWQD	SOUNDER			
157207	11/8/1999	25.2	25.2	3050.38				MCWQD	SOUNDER			
157207	3/2/2000	30.28	30.28	3045.3				MCWQD	SOUNDER			
157207	6/19/2000	27.98	27.98	3047.6				MCWQD	SOUNDER			
157207	8/9/2000	25.83	25.83	3049.75				MCWQD	SOUNDER			
157207	11/29/2000	27.55	27.55	3048.03				MCWQD	SOUNDER			
157207	3/6/2001	31.15	31.15	3044.43				MCWQD	SOUNDER			
157207	6/18/2001	26.47	26.47	3049.11				MCWQD	SOUNDER			
157207	8/30/2001	22.58	22.58	3053				MCWQD	SOUNDER			
157207	11/7/2001	24.67	24.67	3050.91				MCWQD	SOUNDER			
157207	3/4/2002	29.78	29.78	3045.8				MCWQD	SOUNDER			
157207	6/19/2002	25.89	25.89	3049.69				MCWQD	SOUNDER			
157207	10/15/2002	22.13	22.13	3053.45				MCWQD	SOUNDER			
157207	4/9/2003	29	29	3046.58				MCWQD	SOUNDER			
157207	7/9/2003	23.77	23.77	3051.81				MCWQD	SOUNDER			
157207	9/29/2003	20.9	20.9	3054.68				MCWQD	SOUNDER			
157207	3/26/2004	30.07	30.07	3045.51				MCWQD	SOUNDER			
157207	7/20/2004	24.2	24.2	3051.38				MCWQD	SOUNDER	 		
157207	11/30/2004	25.79	25.79	3049.79				MCWQD	SOUNDER	 		
157207	5/12/2005	30.53	30.53	3045.05				MCWQD	SOUNDER	 		
157207	8/19/2005	22.67	22.67	3052.91				MCWQD	SOUNDER			
157207	11/22/2005	25.2	25.2	3050.38				MCWQD	SOUNDER			
157207	3/27/2006	29.69	29.69	3045.89				MCWQD	SOUNDER			
157207	5/26/2006	27.04	27.04	3048.54				MCWQD	SOUNDER			
157207	7/21/2006	27.04	27.04	3048.54				MCWQD	SOUNDER			
157207	11/22/2006	24.83	24.83	3050.75				MCWQD	SOUNDER			
157207	4/9/2007	29.22	29.22	3046.36				MCWQD	SOUNDER			
157207	6/13/2007	24.85	24.85	3050.73				MCWQD	SOUNDER			
157207	7/9/2007	22.81	22.81	3052.77				MCWQD	SOUNDER			
157207	10/2/2007	22.93	22.93	3052.65				MCWQD	SOUNDER			
157207	3/26/2008	30.73	30.73	3044.85				MCWQD	SOUNDER			
157207	6/16/2008	27.19	27.19	3048.39				MCWQD	SOUNDER			
157207	6/25/2008	25.97	25.97	3049.61				MCWQD	SOUNDER			
157207	9/25/2008	23.12	23.12	3052.46				MCWQD	SOUNDER			
157207	11/18/2008	25.48	25.48	3050.1				MCWQD	SOUNDER			
157207	4/7/2009	29.82	29.82	3045.76				MCWQD	SOUNDER			
157207	6/2/2009	25.19	25.19	3050.39				MCWQD	SOUNDER			
157207	7/1/2009	23.94	23.94	3051.64				MCWQD	SOUNDER			
157207	10/6/2009	22.1	22.1	3053.48				MCWQD	SOUNDER			
157207	3/25/2010	28.42	28.42	3047.16				MCWQD	SOUNDER			
157207	6/25/2010	22	22	3053.58				MCWQD	SOUNDER			
157207	7/29/2010	19.7	19.7	3055.88				MCWQD	SOUNDER			
157207	10/14/2010	19.33	19.33	3056.25				MCWQD	SOUNDER			
157207	2/16/2011 11:49:00 AM	24.62	24.62	3050.96				MCWQD	SOUNDER 			
157207	3/24/2011	25.05	25.05	3050.53				MCWQD	SOUNDER			
157207	6/14/2011	21.93	21.93	3053.65				MCWQD	SOUNDER			
157207	7/1/2011	21.45	21.45	3054.13				MCWQD	SOUNDER			
157207	11/10/2011	21.23	21.23	3054.35				MCWQD	SOUNDER			
157207	4/18/2012	25.25	25.25	3050.33				MCWQD	SOUNDER			
157207	6/1/2012	22.17	22.17	3053.41				MCWQD	SOUNDER			
157207	7/3/2012	19.95	19.95	3055.63				MCWQD	SOUNDER			
157207	11/1/2012	20.25	20.25	3055.33				MCWQD	SOUNDER			
157207	3/27/2013	25.54	25.54	3050.04				MCWQD	SOUNDER			
157207	5/23/2013	24.4	24.4	3051.18				MCWQD	SOUNDER			
157207	7/3/2013	22.11	22.11	3053.47				MCWQD	SOUNDER			
157207	10/25/2013	20.49	20.49	3055.09				MCWQD	SOUNDER			
157207	4/10/2014	24.68	24.68	3050.9				MCWQD	SOUNDER			
157207	6/5/2014	22.02	22.02	3053.56				MCWQD	SOUNDER			
157207	11/3/2014	18.87	18.87	3056.71				MCWQD	SOUNDER			
157207	3/24/2015	24.23	24.23	3051.35				MCWQD	SOUNDER			
157207	6/4/2015	21.35	21.35	3054.23				MCWQD	SOUNDER			
157207	9/29/2015	19.54	19.54	3056.04				MCWQD	SOUNDER			
157207	2/11/2016	24.66	24.66	3050.92				MCWQD	SOUNDER			
157207	4/6/2016	25.72	25.72	3049.86				MCWQD	SOUNDER			
157207	5/27/2016	24.43	24.43	3051.15				MCWQD	SOUNDER			
157207	9/26/2016	19.85	19.85	3055.73				MCWQD	SOUNDER			
157207	12/2/2016	22.58	22.58	3053				MCWQD	SOUNDER			
157207	3/30/2017	24.55	24.55	3051.03				MCWQD	SOUNDER			
157207	6/2/2017	22.66	22.66	3052.92				MCWQD	SOUNDER			
157207	8/17/2017	18.79	18.79	3056.79				MCWQD	SOUNDER			
157207	9/28/2017	18.61	18.61	3056.97				MCWQD	SOUNDER			
157207	12/7/2017	22.05	22.05	3053.53				MCWQD	SOUNDER			
157207	4/10/2018	25.61	25.61	3049.97				MCWQD	SOUNDER			
157207	5/23/2018	24.02	24.02	3051.56				MCWQD	SOUNDER			
157207	8/30/2018	18.39	18.39	3057.19				MCWQD	SOUNDER			
157207	12/7/2018	21.67	21.67	3053.91				MCWQD	SOUNDER			
157207	4/4/2019	25.2	25.2	3050.38				MCWQD	SOUNDER			
157207	5/23/2019	22.87	22.87	3052.71				MCWQD	SOUNDER			
157207	9/26/2019	16.62	16.62	3058.96				MCWQD	SOUNDER			
157207	1/9/2020 4:47:00 PM	22.64	22.64	3052.94				MCWQD	SOUNDER			
157207	2/5/2020 5:03:00 PM	23.68	23.68	3051.9				MCWQD	SOUNDER			
157207	3/18/2020 4:33:00 PM	24.86	24.86	3050.72				MCWQD	SOUNDER			
157207	4/27/2020 10:14:00 AM	25.46	25.46	3050.12				MCWQD	SOUNDER			
157207	5/25/2020 11:19:00 AM	23.92	23.92	3051.66				MCWQD	SOUNDER			
157207	6/25/2020 12:05:00 PM	21.02	21.02	3054.56				MCWQD	SOUNDER			
157207	7/29/2020 11:05:00 AM	17.28	17.28	3058.3				MCWQD	SOUNDER			
157207	8/27/2020 10:37:00 AM	15.82	15.82	3059.76				MCWQD	SOUNDER			
157207	9/29/2020 10:03:00 AM	17.1	17.1	3058.48				MCWQD	SOUNDER			
157207	10/30/2020 11:27:00 AM	18.94	18.94	3056.64				MCWQD	SOUNDER			
157207	11/23/2020 10:04:00 AM	20.21	20.21	3055.37				MCWQD	SOUNDER			
157207	12/7/2020 1:04:50 PM	21.03	21.03	3054.55				MCWQD	SOUNDER			
157207	1/12/2021 11:35:21 AM	22.83	22.83	3052.75				MCWQD	SOUNDER			
157207	2/25/2021 11:06:26 AM	24.36	24.36	3051.22				MCWQD	SOUNDER			
157207	3/16/2021 11:45:00 AM	24.77	24.77	3050.81				MCWQD	SOUNDER			
157207	5/4/2021 11:00:00 AM	25.44	25.44	3050.14				MCWQD	SOUNDER			
157207	5/25/2021 1:07:00 PM	22.33	22.33	3053.25				MCWQD	SOUNDER			
157207	6/29/2021 7:56:00 AM	18.88	18.88	3056.7				MCWQD	SOUNDER 			
157207	10/1/2021 12:34:00 PM	17.88	17.88	3057.7				MCWQD	SOUNDER 			
157207	10/29/2021 2:52:00 PM	19.41	19.41	3056.17				MCWQD	SOUNDER 			
157207	11/24/2021 10:52:00 AM	20.91	20.91	3054.67				MCWQD	SOUNDER			
157207	1/18/2022 11:15:00 AM	23.59	23.59	3051.99				MCWQD	SOUNDER 			
157207	3/23/2022 1:46:00 PM	25.16	25.16	3050.42				MCWQD	SOUNDER 			
157207	4/6/2022 11:47:00 AM	25.35	25.35	3050.23				MCWQD	SOUNDER 			
157207	5/11/2022 12:03:00 PM	25.7	25.7	3049.88				MCWQD	SOUNDER 			
157207	6/6/2022 1:27:00 PM	23.71	23.71	3051.87				MCWQD	SOUNDER 			
157207	7/8/2022 2:03:00 PM	21.65	21.65	3053.93				MCWQD	SOUNDER 			
157207	8/11/2022 10:21:00 AM	19.85	19.85	3055.73				MCWQD	SOUNDER 			
157207	9/12/2022 4:15:00 PM	18.72	18.72	3056.86				MCWQD	SOUNDER 			
157207	11/18/2022 1:24:00 PM	21.24	21.24	3054.34				MCWQD	SOUNDER 			
157207	1/17/2023 8:45:53 PM	24.29	24.29	3051.29				MCWQD	SOUNDER 			
157207	2/13/2023 7:38:36 PM	25.08	25.08	3050.5				MCWQD	SOUNDER 			
157207	4/3/2023 4:37:32 PM	26	26	3049.58				MCWQD	SOUNDER 			
