gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
151101	6/22/1995	10.92	8.15	3111.65		MCWQD	SOUNDER			
151101	7/1/1995	10.92	8.15	3111.65		MCWQD	SOUNDER			
151101	11/3/1995 1:54:00 PM	13.6	10.83	3108.97		MCWQD	SOUNDER			
151101	2/6/1996 9:50:00 AM	15	12.23	3107.57		MCWQD	SOUNDER			
151101	5/16/1996 2:45:00 PM	9.76	6.99	3112.81		MCWQD	SOUNDER			
151101	8/13/1996 11:50:00 AM	13.35	10.58	3109.22		MCWQD	SOUNDER			
151101	12/4/1996 8:56:00 AM	14.75	11.98	3107.82		MCWQD	SOUNDER			
151101	3/3/1997 4:15:00 PM	13.7	10.93	3108.87		MCWQD	SOUNDER			
151101	5/21/1997 12:00:00 PM	7.55	4.78	3115.02		MCWQD	SOUNDER			
151101	8/25/1997 3:15:00 PM	12	9.23	3110.57		MCWQD	SOUNDER			
151101	11/14/1997 1:00:00 PM	13.2	10.43	3109.37		MCWQD	SOUNDER			
151101	3/10/1998	13.87	11.1	3108.7		MCWQD	SOUNDER			
151101	6/3/1998	9.77	7	3112.8		MCWQD	SOUNDER			
151101	8/18/1998 1:40:00 PM	12.36	9.59	3110.21		MCWQD	SOUNDER			
151101	11/5/1998 2:05:00 PM	13.6	10.83	3108.97		MCWQD	SOUNDER			
151101	2/17/1999 11:00:00 AM	13.83	11.06	3108.74		MCWQD	SOUNDER			
151101	6/21/1999	8.78	6.01	3113.79		MBMG	SOUNDER			
151101	9/14/1999	12.84	10.07	3109.73		MCWQD	SOUNDER	 		
151101	11/4/1999	14.15	11.38	3108.42		MCWQD	SOUNDER	 		
151101	3/1/2000	13.9	11.13	3108.67		MCWQD	SOUNDER			
151101	6/14/2000	10.78	8.01	3111.79		MCWQD	SOUNDER			
151101	8/11/2000	13.16	10.39	3109.41		MCWQD	SOUNDER			
151101	11/29/2000	13.93	11.16	3108.64		MCWQD	SOUNDER			
151101	3/7/2001	15.32	12.55	3107.25		MCWQD	SOUNDER			
151101	6/14/2001 11:25:00 AM	11.09	8.32	3111.48		MCWQD	SOUNDER	 		
151101	8/29/2001	13.23	10.46	3109.34		MCWQD	SOUNDER	 		
151101	11/2/2001	13.62	10.85	3108.95		MCWQD	SOUNDER	 		
151101	3/5/2002	14.3	11.53	3108.27		MCWQD	SOUNDER	 		
151101	6/4/2002	9.21	6.44	3113.36		MCWQD	SOUNDER	 		
151101	10/10/2002	13.6	10.83	3108.97		MCWQD	SOUNDER			
151101	4/15/2003	12.6	9.83	3109.97		MCWQD	SOUNDER			
151101	7/9/2003	11.92	9.15	3110.65		MCWQD	SOUNDER			
151101	10/1/2003	13.23	10.46	3109.34		MCWQD	SOUNDER			
151101	3/31/2004	13.61	10.84	3108.96		MCWQD	SOUNDER			
151101	8/11/2004	14.01	11.24	3108.56		MCWQD	SOUNDER			
151101	12/3/2004	13.91	11.14	3108.66		MCWQD	SOUNDER			
151101	5/17/2005	11.19	8.42	3111.38		MCWQD	SOUNDER			
151101	8/19/2005	13.27	10.5	3109.3		MCWQD	SOUNDER			
151101	11/22/2005	13.94	11.17	3108.63		MCWQD	SOUNDER			
151101	3/22/2006	14.23	11.46	3108.34		MCWQD	SOUNDER			
151101	5/25/2006	9.03	6.26	3113.54		MCWQD	SOUNDER			
151101	7/13/2006	12.1	9.33	3110.47		MCWQD	SOUNDER			
151101	11/22/2006	14.41	11.64	3108.16		MCWQD	SOUNDER			
151101	4/5/2007	13.52	10.75	3109.05		MCWQD	SOUNDER			
151101	6/12/2007	10.65	7.88	3111.92		MCWQD	SOUNDER			
151101	7/6/2007	12.73	9.96	3109.84		MCWQD	SOUNDER			
151101	9/28/2007	13.33	10.56	3109.24		MCWQD	SOUNDER			
151101	4/3/2008	14.61	11.84	3107.96		MCWQD	SOUNDER			
151101	6/13/2008	10	7.23	3112.57		MCWQD	SOUNDER			
151101	7/1/2008	10.65	7.88	3111.92		MCWQD	SOUNDER			
151101	9/29/2008	13.23	10.46	3109.34		MCWQD	SOUNDER			
151101	11/17/2008	13.02	10.25	3109.55		MCWQD	SOUNDER			
151101	4/7/2009	13.89	11.12	3108.68		MCWQD	SOUNDER			
151101	6/3/2009	8.45	5.68	3114.12		MCWQD	SOUNDER			
151101	7/1/2009	10.96	8.19	3111.61		MCWQD	SOUNDER			
151101	10/23/2009	13.87	11.1	3108.7		MCWQD	SOUNDER			
151101	3/25/2010	14.53	11.76	3108.04		MCWQD	SOUNDER			
151101	6/25/2010	10.7	7.93	3111.87		MCWQD	SOUNDER			
151101	7/27/2010	13.26	10.49	3109.31		MCWQD	SOUNDER			
151101	10/15/2010	13.89	11.12	3108.68		MCWQD	SOUNDER			
151101	3/29/2011	14.1	11.33	3108.47		MCWQD	SOUNDER			
151101	6/14/2011	7.62	4.85	3114.95		MCWQD	SOUNDER			
151101	6/30/2011	7.9	5.13	3114.67		MCWQD	SOUNDER			
151101	11/9/2011	13.2	10.43	3109.37		MCWQD	SOUNDER			
151101	4/16/2012	12.17	9.4	3110.4		MCWQD	SOUNDER			
151101	5/31/2012	9.85	7.08	3112.72		MCWQD	SOUNDER			
151101	7/5/2012	10.85	8.08	3111.72		MCWQD	SOUNDER			
151101	10/31/2012	13.27	10.5	3109.3		MCWQD	SOUNDER			
151101	3/26/2013	13.89	11.12	3108.68		MCWQD	SOUNDER			
151101	5/22/2013	10.08	7.31	3112.49		MCWQD	SOUNDER			
151101	7/2/2013	11.78	9.01	3110.79		MCWQD	SOUNDER			
151101	10/25/2013	13.75	10.98	3108.82		MCWQD	SOUNDER			
151101	4/11/2014	12.74	9.97	3109.83		MCWQD	SOUNDER			
151101	6/4/2014	8.22	5.45	3114.35		MCWQD	SOUNDER			
151101	10/31/2014	13.37	10.6	3109.2		MCWQD	SOUNDER			
151101	3/26/2015	12.42	9.65	3110.15		MCWQD	SOUNDER			
151101	6/3/2015	10.04	7.27	3112.53		MCWQD	SOUNDER			
151101	9/29/2015	13.57	10.8	3109		MCWQD	SOUNDER			
151101	2/10/2016	14	11.23	3108.57		MCWQD	SOUNDER			
151101	4/5/2016	13.52	10.75	3109.05		MCWQD	SOUNDER			
151101	5/26/2016	10.38	7.61	3112.19		MCWQD	SOUNDER			
151101	9/23/2016	13.18	10.41	3109.39		MCWQD	SOUNDER			
151101	12/5/2016	13.59	10.82	3108.98		MCWQD	SOUNDER			
151101	3/28/2017	11.76	8.99	3110.81		MCWQD	SOUNDER			
151101	5/31/2017	8.98	6.21	3113.59		MCWQD	SOUNDER			
151101	9/29/2017	13.12	10.35	3109.45		MCWQD	SOUNDER			
151101	12/6/2017	13.06	10.29	3109.51		MCWQD	SOUNDER			
151101	4/11/2018	12.83	10.06	3109.74		MCWQD	SOUNDER			
151101	5/24/2018	7.38	4.61	3115.19		MCWQD	SOUNDER			
151101	8/28/2018	13.15	10.38	3109.42		MCWQD	SOUNDER			
151101	12/6/2018	13.82	11.05	3108.75		MCWQD	SOUNDER			
151101	4/3/2019	13.11	10.34	3109.46		MCWQD	SOUNDER			
151101	5/23/2019	9.17	6.4	3113.4		MCWQD	SOUNDER			
151101	9/24/2019	13.19	10.42	3109.38		MCWQD	SOUNDER			
151101	1/9/2020 8:55:00 PM	14.17	11.4	3108.4		MCWQD	SOUNDER			
151101	2/4/2020 8:21:00 PM	14.3	11.53	3108.27		MCWQD	SOUNDER			
151101	3/18/2020 8:11:00 PM	14.24	11.47	3108.33		MCWQD	SOUNDER			
151101	4/29/2020 5:16:00 PM	12.64	9.87	3109.93		MCWQD	SOUNDER			
151101	5/26/2020 4:00:00 PM	9.15	6.38	3113.42		MCWQD	SOUNDER			
151101	6/29/2020 11:36:00 AM	10.19	7.42	3112.38		MCWQD	SOUNDER			
151101	7/30/2020 3:29:00 PM	12.44	9.67	3110.13		MCWQD	SOUNDER			
151101	8/31/2020 12:49:00 PM	13.33	10.56	3109.24		MCWQD	SOUNDER			
151101	9/30/2020 10:28:00 AM	13.65	10.88	3108.92		MCWQD	SOUNDER			
151101	10/29/2020 1:23:00 PM	13.34	10.57	3109.23		MCWQD	SOUNDER			
151101	11/24/2020 2:37:00 PM	13.47	10.7	3109.1		MCWQD	SOUNDER			
151101	12/8/2020 10:36:32 AM	13.79	11.02	3108.78		MCWQD	SOUNDER			
151101	1/14/2021 1:09:45 PM	14	11.23	3108.57		MCWQD	SOUNDER			
151101	2/24/2021 3:31:07 PM	13.91	11.14	3108.66		MCWQD	SOUNDER			
151101	3/17/2021 1:30:00 PM	14.09	11.32	3108.48		MCWQD	SOUNDER			
151101	4/29/2021 12:25:00 PM	12.97	10.2	3109.6		MCWQD	SOUNDER			
151101	5/26/2021 11:08:00 AM	10.25	7.48	3112.32		MCWQD	SOUNDER			
151101	6/29/2021 11:13:00 AM	11.51	8.74	3111.06		MCWQD	SOUNDER 			
151101	9/30/2021 2:23:00 PM	14.05	11.28	3108.52		MCWQD	SOUNDER 			
151101	10/28/2021 1:52:00 PM	14.25	11.48	3108.32		MCWQD	SOUNDER 			
151101	11/24/2021 2:20:00 PM	14.1	11.33	3108.47		MCWQD	SOUNDER			
151101	1/18/2022 3:26:00 PM	13.99	11.22	3108.58		MCWQD	SOUNDER 			
151101	2/17/2022 2:31:00 PM	14.2	11.43	3108.37		MCWQD	SOUNDER 			
151101	3/24/2022 10:55:00 AM	13.94	11.17	3108.63		MCWQD	SOUNDER 			
151101	4/4/2022 3:41:00 PM	13.4	10.63	3109.17		MCWQD	SOUNDER 			
151101	5/10/2022 10:51:00 AM	11.37	8.6	3111.2		MCWQD	SOUNDER 			
151101	6/7/2022 2:00:00 PM	9.35	6.58	3113.22		MCWQD	SOUNDER 			
151101	7/8/2022 12:20:00 PM	11.16	8.39	3111.41		MCWQD	SOUNDER 			
151101	8/10/2022 12:15:00 PM	13.65	10.88	3108.92		MCWQD	SOUNDER 			
151101	9/15/2022 1:07:00 PM	13.76	10.99	3108.81		MCWQD	SOUNDER 			
151101	11/21/2022 12:23:00 PM	14.34	11.57	3108.23		MCWQD	SOUNDER 			
151101	1/11/2023 10:54:49 PM	14.48	11.71	3108.09		MCWQD	SOUNDER 			
151101	2/7/2023 10:24:37 PM	14.55	11.78	3108.02		MCWQD	SOUNDER 			
151101	4/4/2023 6:44:21 PM	14.5	11.73	3108.07		MCWQD	SOUNDER 			
