gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
72114	7/15/1991	5.63						USGS	STEEL TAPE	RASA (USGS PROJECT)		
72114	9/8/1995 8:00:00 AM	7.35	6.5	2983.5				MBMG	SOUNDER	INITIAL GWAA MEASUREMENT		
72114	11/14/1995 4:25:00 PM	6.24	5.39	2984.61				MCWQD	SOUNDER			
72114	2/16/1996 5:35:00 PM	2.07	1.22	2988.78				MCWQD	STEEL TAPE			
72114	6/10/1996 4:45:00 PM	0	-0.85	2990.85				MCWQD	UNKNOWN	FLOWING		YES
72114	8/21/1996 1:10:00 PM	7.38	6.53	2983.47				MCWQD	SOUNDER			
72114	2/7/1997 4:18:00 PM	4.51	3.66	2986.34				MCWQD	SOUNDER			
72114	6/4/1997 11:10:00 AM	0	-0.85	2990.85				MCWQD	UNKNOWN	FLOWING		YES
72114	8/28/1997 11:55:00 AM	4.65	3.8	2986.2				MCWQD	SOUNDER			
72114	11/26/1997 3:30:00 PM	4.84	3.99	2986.01				MCWQD	SOUNDER			
72114	8/12/1998 2:20:00 PM	6.4	5.55	2984.45				MCWQD	SOUNDER			
72114	10/29/1998 10:40:00 AM	5.8	4.95	2985.05				MCWQD	SOUNDER			
72114	2/5/1999 4:00:00 PM	5.4	4.55	2985.45				MCWQD	SOUNDER			
72114	9/7/1999 2:30:00 PM	6.95	6.1	2983.9				MCWQD	SOUNDER	 		
72114	11/9/1999 4:15:00 PM	6.66	5.81	2984.19				MCWQD	SOUNDER	 		
72114	3/3/2000	7.55	6.7	2983.3				MCWQD	SOUNDER			
72114	5/18/2000	5.73	4.88	2985.12				MCWQD	SOUNDER			
72114	5/10/2001 3:35:00 PM	4.07	3.22	2986.78				MCWQD	SOUNDER	 		
72114	12/7/2001	6.45	5.6	2984.4				MCWQD	SOUNDER	 		
72114	6/7/2002	1.45	0.6	2989.4				MCWQD	SOUNDER	 		
72114	9/26/2003 9:55:00 AM	6.8	5.95	2984.05				MBMG	STEEL TAPE			
72114	12/11/2003 12:01:00 PM	6.36	5.51	2984.49				MBMG	SOUNDER			
72114	3/24/2004 3:04:00 PM	5.2	4.35	2985.65				MBMG	SOUNDER			
72114	6/24/2004 11:50:00 AM	3.81	2.96	2987.04				MBMG	STEEL TAPE			
72114	9/29/2004 5:49:00 PM	6.14	5.29	2984.71				MBMG	STEEL TAPE			
72114	12/7/2004 3:41:00 PM	6.33	5.48	2984.52				MBMG	STEEL TAPE			
72114	3/22/2005 3:11:00 PM	6.14	5.29	2984.71				MBMG	STEEL TAPE			
72114	6/9/2005 12:19:00 PM	3.2	2.35	2987.65				MBMG	STEEL TAPE			
72114	9/27/2005 2:40:00 PM	6.87	6.02	2983.98				MBMG	STEEL TAPE			
72114	12/20/2005 11:10:00 AM	6.38	5.53	2984.47				MBMG	STEEL TAPE			
72114	3/28/2006 3:02:00 PM	6.19	5.34	2984.66				MBMG	STEEL TAPE			
72114	6/28/2006 10:10:00 AM	5.06	4.21	2985.79				MBMG	STEEL TAPE			
