gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	agency	method	remarks	dry	nonstatic
151188	12/30/1985	9.84	9.34	3104.27		UM	UNKNOWN			
151188	2/3/1986	9.53	9.03	3104.58		UM	UNKNOWN			
151188	2/28/1986	7.73	7.23	3106.38		UM	UNKNOWN			
151188	3/27/1986	8.45	7.95	3105.66		UM	UNKNOWN			
151188	5/5/1986	7.62	7.12	3106.49		UM	UNKNOWN			
151188	6/19/1986	5.81	5.31	3108.3		UM	UNKNOWN			
151188	7/30/1986	8.13	7.63	3105.98		UM	UNKNOWN			
151188	8/14/1986	8.29	7.79	3105.82		UM	UNKNOWN			
151188	9/30/1986	8.15	7.65	3105.96		UM	UNKNOWN			
151188	10/22/1986	9.17	8.67	3104.94		UM	UNKNOWN			
151188	12/14/1986	9.71	9.21	3104.4		UM	UNKNOWN			
151188	1/27/1987	10.03	9.53	3104.08		UM	UNKNOWN			
151188	2/9/1987	9.93	9.43	3104.18		UM	UNKNOWN			
151188	3/20/1987	9.54	9.04	3104.57		UM	UNKNOWN			
151188	4/26/1987	8.14	7.64	3105.97		UM	UNKNOWN			
151188	6/2/1987	6.54	6.04	3107.57		UM	UNKNOWN			
151188	7/1/1995	5.58	5.08	3108.53		UM	SOUNDER			
151188	11/3/1995 10:25:00 AM	9.34	8.84	3104.77		MCWQD	SOUNDER			
151188	2/6/1996 9:20:00 AM	9.55	9.05	3104.56		MCWQD	SOUNDER			
151188	5/29/1996 2:15:00 PM	4.34	3.84	3109.77		MCWQD	SOUNDER			
151188	8/13/1996 11:30:00 AM	8.16	7.66	3105.95		MCWQD	SOUNDER			
151188	11/27/1996 12:00:00 PM	9.54	9.04	3104.57		MCWQD	SOUNDER			
151188	3/5/1997 11:15:00 AM	9	8.5	3105.11		MCWQD	SOUNDER			
151188	5/21/1997 1:50:00 PM	3.53	3.03	3110.58		MCWQD	SOUNDER			
151188	8/25/1997 4:00:00 PM	8	7.5	3106.11		MCWQD	SOUNDER			
151188	11/14/1997 1:55:00 PM	10.02	9.52	3104.09		MCWQD	SOUNDER			
151188	3/10/1998	9.84	9.34	3104.27		MCWQD	SOUNDER			
151188	6/3/1998	5.38	4.88	3108.73		MCWQD	SOUNDER			
151188	8/18/1998 1:30:00 PM	8.4	7.9	3105.71		MCWQD	SOUNDER			
151188	11/5/1998 2:00:00 PM	9.56	9.06	3104.55		MCWQD	SOUNDER			
151188	2/17/1999 10:50:00 AM	9.54	9.04	3104.57		MCWQD	SOUNDER			
151188	6/29/1999	5.2	4.7	3108.91		MCWQD	SOUNDER			
151188	11/10/1999	9.54	9.04	3104.57		MCWQD	SOUNDER	 		
151188	3/1/2000	9.6	9.1	3104.51		MCWQD	SOUNDER			
151188	6/21/2000	5.49	4.99	3108.62		MCWQD	SOUNDER			
151188	8/11/2000	8.88	8.38	3105.23		MCWQD	SOUNDER			
151188	11/29/2000	9.88	9.38	3104.23		MCWQD	SOUNDER			
151188	3/26/2001	9.7	9.2	3104.41		MCWQD	SOUNDER			
151188	6/14/2001 11:45:00 AM	6.21	5.71	3107.9		MCWQD	SOUNDER	 		
151188	8/30/2001	8.92	8.42	3105.19		MCWQD	SOUNDER	 		
151188	11/2/2001	9.36	8.86	3104.75		MCWQD	SOUNDER	 		
151188	3/5/2002	10.15	9.65	3103.96		MCWQD	SOUNDER	 		
151188	6/4/2002	4.32	3.82	3109.79		MCWQD	SOUNDER	 		
151188	10/10/2002	9.56	9.06	3104.55		MCWQD	SOUNDER			
151188	10/1/2003	9.2	8.7	3104.91		MCWQD	SOUNDER			
151188	3/31/2004	9.02	8.52	3105.09		MCWQD	SOUNDER			
151188	8/11/2004	8.65	8.15	3105.46		MCWQD	SOUNDER			
151188	12/3/2004	9.86	9.36	3104.25		MCWQD	SOUNDER			
151188	5/17/2005	6.68	6.18	3107.43		MCWQD	SOUNDER			
151188	8/19/2005	9.03	8.53	3105.08		MCWQD	SOUNDER			
151188	3/22/2006	9.83	9.33	3104.28		MCWQD	SOUNDER			
151188	5/26/2006	4.49	3.99	3109.62		MCWQD	SOUNDER			
151188	7/13/2006	8.02	7.52	3106.09		MCWQD	SOUNDER			
151188	11/22/2006	8.95	8.45	3105.16		MCWQD	SOUNDER			
151188	4/5/2007	8.79	8.29	3105.32		MCWQD	SOUNDER			
151188	6/12/2007	6	5.5	3108.11		MCWQD	SOUNDER			
151188	7/6/2007	8.17	7.67	3105.94		MCWQD	SOUNDER			
151188	9/28/2007	8.67	8.17	3105.44		MCWQD	SOUNDER			
151188	4/3/2008	10.05	9.55	3104.06		MCWQD	SOUNDER			
151188	6/13/2008	5.1	4.6	3109.01		MCWQD	SOUNDER			
151188	7/1/2008	4.72	4.22	3109.39		MCWQD	SOUNDER			
151188	9/29/2008	8.7	8.2	3105.41		MCWQD	SOUNDER			
151188	11/17/2008	8.46	7.96	3105.65		MCWQD	SOUNDER			
151188	4/6/2009	9.55	9.05	3104.56		MCWQD	SOUNDER			
151188	6/3/2009	4	3.5	3110.11		MCWQD	SOUNDER			
151188	7/1/2009	6.24	5.74	3107.87		MCWQD	SOUNDER			
151188	10/23/2009	9.75	9.25	3104.36		MCWQD	SOUNDER			
151188	3/26/2010	10.1	9.6	3104.01		MCWQD	SOUNDER			
151188	6/25/2010	5.9	5.4	3108.21		MCWQD	SOUNDER			
151188	7/27/2010	8.58	8.08	3105.53		MCWQD	SOUNDER			
151188	10/15/2010	9.61	9.11	3104.5		MCWQD	SOUNDER			
151188	3/29/2011	9.64	9.14	3104.47		MCWQD	SOUNDER			
151188	6/14/2011	7.62	7.12	3106.49		MCWQD	SOUNDER			
151188	6/30/2011	4	3.5	3110.11		MCWQD	SOUNDER			
151188	11/9/2011	9.25	8.75	3104.86		MCWQD	SOUNDER			
151188	4/16/2012	7.83	7.33	3106.28		MCWQD	SOUNDER			
151188	5/31/2012	5.65	5.15	3108.46		MCWQD	SOUNDER			
151188	7/5/2012	6.07	5.57	3108.04		MCWQD	SOUNDER			
151188	10/31/2012	9	8.5	3105.11		MCWQD	SOUNDER			
151188	3/26/2013	9.69	9.19	3104.42		MCWQD	SOUNDER			
151188	5/22/2013	5.76	5.26	3108.35		MCWQD	SOUNDER			
151188	7/2/2013	6.92	6.42	3107.19		MCWQD	SOUNDER			
151188	10/25/2013	9.67	9.17	3104.44		MCWQD	SOUNDER			
151188	4/8/2014	8.56	8.06	3105.55		MCWQD	SOUNDER			
151188	6/4/2014	4.16	3.66	3109.95		MCWQD	SOUNDER			
151188	10/31/2014	9.18	8.68	3104.93		MCWQD	SOUNDER			
151188	3/26/2015	8.02	7.52	3106.09		MCWQD	SOUNDER			
151188	6/3/2015	5.4	4.9	3108.71		MCWQD	SOUNDER			
151188	9/29/2015	9.12	8.62	3104.99		MCWQD	SOUNDER			
151188	2/10/2016	9.98	9.48	3104.13		MCWQD	SOUNDER			
151188	4/7/2016	9	8.5	3105.11		MCWQD	SOUNDER			
151188	5/26/2016	6.25	5.75	3107.86		MCWQD	SOUNDER			
151188	9/23/2016	8.72	8.22	3105.39		MCWQD	SOUNDER			
151188	12/5/2016	9.61	9.11	3104.5		MCWQD	SOUNDER			
151188	3/28/2017	7.11	6.61	3107		MCWQD	SOUNDER			
151188	5/31/2017	4.55	4.05	3109.56		MCWQD	SOUNDER			
151188	9/29/2017	8.51	8.01	3105.6		MCWQD	SOUNDER			
151188	12/6/2017	8.97	8.47	3105.14		MCWQD	SOUNDER			
151188	4/11/2018	8.5	8	3105.61		MCWQD	SOUNDER			
151188	5/24/2018	3.46	2.96	3110.65		MCWQD	SOUNDER			
151188	8/28/2018	8.55	8.05	3105.56		MCWQD	SOUNDER			
151188	12/6/2018	9.71	9.21	3104.4		MCWQD	SOUNDER			
151188	4/3/2019	8.65	8.15	3105.46		MCWQD	SOUNDER			
151188	5/23/2019	4.96	4.46	3109.15		MCWQD	SOUNDER			
151188	9/24/2019	8.39	7.89	3105.72		MCWQD	SOUNDER			
151188	1/9/2020 8:47:00 PM	9.91	9.41	3104.2		MCWQD	SOUNDER			
151188	2/4/2020 8:10:00 PM	10.07	9.57	3104.04		MCWQD	SOUNDER			
151188	3/18/2020 7:53:00 PM	9.9	9.4	3104.21		MCWQD	SOUNDER			
151188	4/29/2020 5:06:00 PM	8.09	7.59	3106.02		MCWQD	SOUNDER			
151188	5/26/2020 3:50:00 PM	4.95	4.45	3109.16		MCWQD	SOUNDER			
151188	6/29/2020 11:29:00 AM	5.37	4.87	3108.74		MCWQD	SOUNDER			
151188	7/30/2020 3:22:00 PM	7.8	7.3	3106.31		MCWQD	SOUNDER			
151188	8/31/2020 12:43:00 PM	8.62	8.12	3105.49		MCWQD	SOUNDER			
151188	9/30/2020 10:16:00 AM	9.15	8.65	3104.96		MCWQD	SOUNDER			
151188	10/29/2020 12:48:00 PM	8.93	8.43	3105.18		MCWQD	SOUNDER			
151188	11/24/2020 2:58:00 PM	9.19	8.69	3104.92		MCWQD	SOUNDER			
151188	12/8/2020 10:28:40 AM	9.62	9.12	3104.49		MCWQD	SOUNDER			
