gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
156566	5/30/1996	15.71	15.71	3028.64				MCWQD	SOUNDER			
156566	8/15/1996	16.65	16.65	3027.7				MCWQD	SOUNDER			
156566	12/2/1996	19.14	19.14	3025.21				MCWQD	SOUNDER			
156566	3/6/1997	19	19	3025.35				MCWQD	SOUNDER			
156566	5/19/1997	14.39	14.39	3029.96				MCWQD	SOUNDER			
156566	8/26/1997	16.72	16.72	3027.63				MCWQD	SOUNDER			
156566	11/18/1997	18.64	18.64	3025.71				MCWQD	SOUNDER			
156566	3/3/1998	19.38	19.38	3024.97				MCWQD	SOUNDER			
156566	6/2/1998	17.09	17.09	3027.26				MCWQD	SOUNDER			
156566	8/17/1998	18.05	18.05	3026.3				MCWQD	SOUNDER			
156566	11/2/1998	18.3	18.3	3026.05				MCWQD	SOUNDER			
156566	2/22/1999	19.42	19.42	3024.93				MCWQD	SOUNDER			
156566	6/23/1999	17.42	17.42	3026.93				MCWQD	SOUNDER			
156566	9/13/1999	17.57	17.57	3026.78				MCWQD	SOUNDER			
156566	11/8/1999	18.2	18.2	3026.15				MCWQD	SOUNDER			
156566	3/2/2000	19.6	19.6	3024.75				MCWQD	SOUNDER			
156566	6/15/2000	18.2	18.2	3026.15				MCWQD	SOUNDER			
156566	8/9/2000	18.7	18.7	3025.65				MCWQD	SOUNDER			
156566	11/28/2000	19.5	19.5	3024.85				MCWQD	SOUNDER			
156566	3/6/2001	19.93	19.93	3024.42				MCWQD	SOUNDER			
156566	6/18/2001	17.35	17.35	3027				MCWQD	SOUNDER			
156566	8/30/2001	18.1	18.1	3026.25				MCWQD	SOUNDER			
156566	11/7/2001	18.98	18.98	3025.37				MCWQD	SOUNDER			
156566	3/11/2002	19.87	19.87	3024.48				MCWQD	SOUNDER			
156566	6/19/2002	16.22	16.22	3028.13				MCWQD	SOUNDER			
156566	10/15/2002	18.26	18.26	3026.09				MCWQD	SOUNDER			
156566	4/9/2003	18.97	18.97	3025.38				MCWQD	SOUNDER			
156566	7/9/2003	17.97	17.97	3026.38				MCWQD	SOUNDER			
156566	9/29/2003	18.13	18.13	3026.22				MCWQD	SOUNDER			
156566	3/26/2004	19	19	3025.35				MCWQD	SOUNDER			
156566	7/20/2004	17.95	17.95	3026.4				MCWQD	SOUNDER	 		
156566	11/19/2004	19.11	19.11	3025.24				MCWQD	SOUNDER	 		
156566	5/12/2005	18.45	18.45	3025.9				MCWQD	SOUNDER	 		
156566	8/19/2005	18.21	18.21	3026.14				MCWQD	SOUNDER			
156566	11/22/2005	19.11	19.11	3025.24				MCWQD	SOUNDER			
156566	3/27/2006	19.4	19.4	3024.95				MCWQD	SOUNDER			
