gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
157209	5/30/1996	7.81	7.81	3077.76				MCWQD	SOUNDER			
157209	8/14/1996	13.37	13.37	3072.2				MCWQD	SOUNDER			
157209	11/18/1996	14.21	14.21	3071.36				MCWQD	SOUNDER			
157209	3/3/1997	13.4	13.4	3072.17				MCWQD	SOUNDER			
157209	5/20/1997	6.05	6.05	3079.52				MCWQD	SOUNDER			
157209	8/25/1997	12.48	12.48	3073.09				MCWQD	SOUNDER			
157209	11/18/1997	12.07	12.07	3073.5				MCWQD	SOUNDER			
157209	3/9/1998	14.62	14.62	3070.95				MCWQD	SOUNDER			
157209	5/28/1998	9.35	9.35	3076.22				MCWQD	SOUNDER			
157209	8/17/1998	12.75	12.75	3072.82				MCWQD	SOUNDER			
157209	11/2/1998	13.5	13.5	3072.07				MCWQD	SOUNDER			
157209	2/22/1999	13.69	13.69	3071.88				MCWQD	SOUNDER			
157209	6/21/1999	8.06	8.06	3077.51				MCWQD	SOUNDER			
157209	9/13/1999	13.42	13.42	3072.15				MCWQD	SOUNDER			
157209	11/4/1999	13.54	13.54	3072.03				MCWQD	SOUNDER			
157209	2/29/2000	13.55	13.55	3072.02				MCWQD	SOUNDER			
157209	6/13/2000	10.6	10.6	3074.97				MCWQD	SOUNDER			
157209	8/9/2000	13.94	13.94	3071.63				MCWQD	SOUNDER			
157209	11/29/2000	13.82	13.82	3071.75				MCWQD	SOUNDER			
157209	3/5/2001	14.17	14.17	3071.4				MCWQD	SOUNDER			
157209	6/14/2001	10.41	10.41	3075.16				MCWQD	SOUNDER			
157209	8/29/2001	14.05	14.05	3071.52				MCWQD	SOUNDER			
157209	11/2/2001	13.83	13.83	3071.74				MCWQD	SOUNDER			
157209	3/4/2002	14	14	3071.57				MCWQD	SOUNDER			
157209	6/5/2002	8.29	8.29	3077.28				MCWQD	SOUNDER			
157209	10/10/2002	13.6	13.6	3071.97				MCWQD	SOUNDER			
157209	4/10/2003	12.31	12.31	3073.26				MCWQD	SOUNDER			
157209	7/9/2003	11.64	11.64	3073.93				MCWQD	SOUNDER			
157209	10/1/2003	13.67	13.67	3071.9				MCWQD	SOUNDER			
157209	3/29/2004	12.73	12.73	3072.84				MCWQD	SOUNDER			
157209	7/20/2004	13.23	13.23	3072.34				MCWQD	SOUNDER	 		
