gwicid	date_measured	swl_mp	swl_ground	swl_elevation	temp_water	logger_sc	logger_ph	agency	method	remarks	dry	nonstatic
151161	7/1/1995	34.38	31.61	3135.29				MCWQD	SOUNDER			
151161	11/6/1995 9:50:00 AM	38.94	36.17	3130.73				MCWQD	SOUNDER			
151161	2/16/1996 1:40:00 PM	37.84	35.07	3131.83				MCWQD	SOUNDER			
151161	5/30/1996 11:20:00 AM	31.8	29.03	3137.87				MCWQD	SOUNDER			
151161	8/13/1996 1:15:00 PM	35.57	32.8	3134.1				MCWQD	SOUNDER			
151161	11/27/1996 10:20:00 AM	39.43	36.66	3130.24				MCWQD	SOUNDER			
151161	3/11/1997 4:30:00 PM	39.25	36.48	3130.42				MCWQD	SOUNDER			
151161	5/27/1997 2:00:00 PM	30.1	27.33	3139.57				MCWQD	SOUNDER			
151161	8/21/1997	34.04	31.27	3135.63				MCWQD	SOUNDER			
151161	11/21/1997 11:30:00 AM	37.54	34.77	3132.13				MCWQD	SOUNDER			
151161	3/11/1998	39.48	36.71	3130.19				MCWQD	SOUNDER			
151161	6/2/1998	33.79	31.02	3135.88				MCWQD	SOUNDER			
151161	8/18/1998 1:10:00 PM	34.5	31.73	3135.17				MCWQD	SOUNDER			
151161	11/5/1998 3:20:00 PM	37.7	34.93	3131.97				MCWQD	SOUNDER			
151161	3/8/1999 2:45:00 PM	39.48	36.71	3130.19				MCWQD	SOUNDER			
151161	6/22/1999	32.47	29.7	3137.2				MBMG	SOUNDER			
151161	9/14/1999	36.42	33.65	3133.25				MCWQD	SOUNDER	 		
151161	11/4/1999	37.1	34.33	3132.57				MCWQD	SOUNDER	 		
151161	3/7/2000	40.28	37.51	3129.39				MCWQD	SOUNDER			
151161	6/20/2000	34.85	32.08	3134.82				MCWQD	SOUNDER			
151161	8/11/2000	38.45	35.68	3131.22				MCWQD	SOUNDER			
151161	11/30/2000	39.23	36.46	3130.44				MCWQD	SOUNDER			
151161	3/27/2001	40.9	38.13	3128.77				MCWQD	SOUNDER			
151161	6/21/2001 2:10:00 PM	35.25	32.48	3134.42				MCWQD	SOUNDER	 		
151161	8/29/2001	37.55	34.78	3132.12				MCWQD	SOUNDER	 		
151161	11/2/2001	38.81	36.04	3130.86				MCWQD	SOUNDER	 		
151161	3/19/2002	41.19	38.42	3128.48				MCWQD	SOUNDER	 		
151161	6/11/2002	33.95	31.18	3135.72				MCWQD	SOUNDER	 		
151161	10/10/2002	37.9	35.13	3131.77				MCWQD	SOUNDER			
151161	4/15/2003	40.31	37.54	3129.36				MCWQD	SOUNDER			
151161	7/10/2003	34.85	32.08	3134.82				MCWQD	SOUNDER			
151161	9/30/2003	37.98	35.21	3131.69				MCWQD	SOUNDER			
151161	3/31/2004	40.55	37.78	3129.12				MCWQD	SOUNDER			
151161	7/20/2004	36.61	33.84	3133.06				MCWQD	SOUNDER	 		
151161	12/3/2004	38.9	36.13	3130.77				MCWQD	SOUNDER	 		
151161	5/17/2005	36.44	33.67	3133.23				MCWQD	SOUNDER	 		
151161	8/17/2005	37.3	34.53	3132.37				MCWQD	SOUNDER			
151161	11/22/2005	39.23	36.46	3130.44				MCWQD	SOUNDER			
151161	3/22/2006	45.55	42.78	3124.12				MCWQD	SOUNDER			
151161	5/25/2006	33.91	31.14	3135.76				MCWQD	SOUNDER			
151161	7/13/2006	34.78	32.01	3134.89				MCWQD	SOUNDER			
151161	11/22/2006	39.27	36.5	3130.4				MCWQD	SOUNDER			
151161	4/6/2007	40.72	37.95	3128.95				MCWQD	SOUNDER			
151161	6/12/2007	34.7	31.93	3134.97				MCWQD	SOUNDER			
151161	7/6/2007	35.8	33.03	3133.87				MCWQD	SOUNDER			
151161	9/28/2007	39.78	37.01	3129.89				MCWQD	SOUNDER			
151161	4/3/2008	42.89	40.12	3126.78				MCWQD	SOUNDER			
151161	6/13/2008	33.8	31.03	3135.87				MCWQD	SOUNDER			
151161	7/1/2008	33.94	31.17	3135.73				MCWQD	SOUNDER			
151161	9/29/2008	37.83	35.06	3131.84				MCWQD	SOUNDER			
151161	11/17/2008	39.08	36.31	3130.59				MCWQD	SOUNDER			
151161	4/7/2009	40.28	37.51	3129.39				MCWQD	SOUNDER			
151161	6/3/2009	33.21	30.44	3136.46				MCWQD	SOUNDER			
151161	7/2/2009	33.02	30.25	3136.65				MCWQD	SOUNDER			
